frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_20,ID_21,ID_22,ID_24,ID_25,ID_26,ID_27,ID_28,ID_29,ID_30,ID_31,ID_34,ID_35,ID_37,ID_38,ID_39,ID_40,ID_41,ID_42,ID_43,ID_44,ID_45,ID_46,ID_47,ID_50,ID_51,ID_52,ID_53,ID_55,ID_56,ID_57,ID_58,ID_59,ID_60,ID_61,ID_63,ID_64,ID_65,ID_66,ID_67,ID_68,ID_69,ID_71,ID_72,ID_73,ID_74,ID_75,ID_79,ID_80,ID_81,ID_82,ID_83,ID_84,ID_85,ID_86,ID_87,ID_88,ID_89,ID_91,ID_92,ID_93,ID_95,ID_96,ID_97,ID_98,ID_99,ID_101,ID_103,ID_104,ID_106,ID_107,ID_108,ID_109,ID_110,ID_111,ID_112
1136,,,,(594!743),,,,,,,,,,,,,,,,,,,,(1592!335),(1240!449),(1239!103),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,,,,(594!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1240!449),(1239!103),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,,,,(594!743),,,,,,,,,,,,,,,,,,,,(1592!335),(1240!449),(1239!104),,,,(1335!471),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!335),(1240!449),(1239!104),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1240!449),(1239!103),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1240!449),(1239!104),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1240!449),(1239!104),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,,,,(594!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1240!449),(1239!104),,,,(1335!470),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,,,,(591!757),,,,,,,,,,,,,,,,,,,,(1592!334),(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147,,,,(592!757),,,,,,,,,,,,,,,,,,,,(1592!334),(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,,,,(594!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1240!449),,,,,(1335!470),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,,,,(594!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!105),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,,,,(594!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!105),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!105),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!105),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,,,,(594!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!105),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,,,,(594!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!105),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!105),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!105),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!105),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,,,,(594!743),,,,,,,,,,,,,,,,,,,,(1592!335),(1239!104),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!335),(1239!104),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,,,,(594!743),,,,,,,,,,,,,,,,,,,,(1592!335),(1239!104),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,,,,(593!744),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1241!449),(1337!465),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1166,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!335),(1239!104),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,,,,(594!743),,,,,,,,,,,,,,,,,,,,(1593!335),(1239!104),,(449!1141),,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,(449!1142),,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1593!334),(1239!104),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,,,,(594!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1593!334),(1239!105),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1179,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,(828!354),,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,,,,(593!744),,,,,,,,,,,,,,,,,,,,(1592!335),(1239!104),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,,,,(593!744),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1593!334),(1238!104),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!105),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1188,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1241!449),(1339!463),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,,,,(594!743),,,,,,,,,,,,,,,,,,,,(1593!334),(1239!104),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191,,,,(594!743),,,,,,,,,,,,,,,,,,,,(1592!335),(1239!104),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!335),(1239!104),,,,,(1239!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,,,,(594!743),,,,,,,,,,,,,,,,,,,,(1593!335),(1239!104),,,,,(1239!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194,,,,(594!743),,,,,,,,,,,,,,,,,,,,(1593!334),(1239!104),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195,,,,(593!744),,,,,,,,,,,,,,,,,,,,(1592!335),(1239!104),,,,,(1240!449),(1341!465),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1593!334),(1239!104),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,,,,(594!744),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198,,,,(594!744),,,,,,,,,,,,,,,,,,,,(1592!335),(1239!103),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!335),(1239!104),,,,,(1239!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,,,,(594!743),,,,,,,,,,,,,,,,,,,,(1592!335),(1239!104),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,,,,(594!743),,,,,,,,,,,,,,,,,,,,(1593!334),(1239!104),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,,,,(594!743),,,,,,,,,,,,,,,,,,,,(1593!334),(1239!104),,,,,(1239!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,,,,(594!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,,,,(594!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205,,,,(594!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,,,,(594!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1241!449),(1343!468),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207,,,,(594!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208,,,,(594!743),,,,,,,,,,,,,,,,,,,,(1593!334),(1239!104),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,,,,(594!743),,,,,,,,,,,,,,,,,,,,(1593!335),(1239!104),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,,,,(594!743),,,,,,,,,,,,,,,,,,,,(1593!334),(1239!104),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1240!449),(1343!472),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1240!449),(1343!469),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1593!334),(1239!104),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1240!449),(1344!469),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1240!449),(1343!470),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,,,,(592!757),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1240!449),(1344!470),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,,,,(593!744),,,,,,,,,,,,,,,,,,,,(1592!335),(1239!104),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1223,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!335),(1239!104),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!335),(1239!104),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1226,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!335),(1239!104),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),,,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1240!449),(1346!474),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!334),(1239!104),,,,,(1240!449),(1346!474),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!335),(1239!104),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1593!335),(1239!104),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!335),(1239!104),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!335),(1239!104),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!335),(1239!104),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!335),(1239!104),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1237,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!335),(1239!104),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!335),(1239!104),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1239,,,,(593!743),,,,,,,,,,,,,,,,,,,,(1592!335),(1239!104),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240,,,,(594!744),,,,,,,,,,,,,,,,,,,,(1592!335),(1239!104),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241,,,,(594!750),,,,,,,,,,,,,,,,,,,,(1592!335),(1239!104),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1242,,,,(594!750),,,,,,,,,,,,,,,,,,,,(1592!335),(1239!104),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243,,,,(594!743),,,,,,,,,,,,,,,,,,,,(1592!335),(1239!104),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1244,,,,(594!743),,,,,,,,,,,,,,,,,,,,(1592!335),(1239!104),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,,,,(594!743),,,,,,,,,,,,,,,,,,,,(1592!335),,,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1246,,,,(594!743),,,,,,,,,,,,,,,,,,,,(1592!335),(1239!103),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1247,,,,(594!743),,,,,,,,,,,,,,,,,,,,(1592!335),(1239!103),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1248,,,,(594!743),,,,,,,,,,,,,,,,,,,,(1592!335),(1239!103),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1249,,,,(595!743),,,,,,,,,,,,,,,,,,,,(1592!335),(1239!103),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,,,,(595!742),,,,,,,,,,,,,,,,,,,,(1592!335),(1239!103),,,,,(1241!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1251,,,,(595!743),,,,,,,,,,,,,,,,,,,,(1592!335),(1238!103),,,,,(1240!449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
