frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_15,ID_17,ID_18,ID_20,ID_21,ID_23,ID_24,ID_25,ID_26,ID_27,ID_30,ID_31,ID_32,ID_33,ID_34,ID_36,ID_38,ID_39,ID_40,ID_41,ID_43,ID_45,ID_46,ID_47,ID_48,ID_49,ID_50,ID_51,ID_53,ID_54,ID_55,ID_56,ID_57,ID_58,ID_59,ID_62,ID_63,ID_64,ID_65,ID_67,ID_68,ID_71,ID_72,ID_74,ID_75,ID_76
972,,,(619!184),,(1678!760),(1579!1131),(1433!1024),(1738!1217),(1122!1246),,,(50!582),,,,,,,,,,,,,(920!617),(136!122),,,,,,,,,,,,(992!920),,,,,,,,(1126!658),,,(1337!463),,,,,,,,,,,
973,,,(619!184),,(1678!760),(1579!1131),(1433!1024),(1738!1217),(1122!1246),,,,,,,,,,,,,,,,(920!617),(136!121),,,,,,,,,,,,(989!920),,,,,,,,(1123!658),,(1420!382),(1337!464),,,,,,,,,,,
974,,,(619!184),,(1678!760),(1580!1131),(1433!1024),(1740!1218),(1122!1246),,,(50!591),,,,,,,,,,,,,(920!617),(137!121),,,,,,,,,,,,(989!915),,,,,,,,(1126!658),,(1419!382),(1337!464),,,,,,,,,,,
975,,,(619!184),,(1678!760),(1579!1131),(1433!1024),(1739!1217),(1122!1246),,,(49!592),,,,,,,,,,,,,(920!617),(136!120),,,,,,,,,,,,(989!920),,,,,,,,(1123!658),,(1419!382),(1337!461),,,,,,,,,,,
976,,,(619!184),,(1679!760),(1579!1131),(1433!1024),(1739!1218),(1122!1246),,,(50!595),,,,,,,,,,,,,(920!617),(137!119),,,,,,,,,,,,(992!920),,,,,,,,(1126!658),,,(1337!461),,,,,,,,,,,
977,,,(619!184),,(1678!760),(1579!1131),(1433!1024),(1738!1217),(1122!1246),,,(49!597),,,,,,,,,,,,,(918!617),(137!119),,,,,,,,,,,,(989!920),,,,,,,,(1123!658),,,(1336!460),,,,,,,,,,,
978,,,(619!184),,(1679!760),(1579!1131),(1433!1024),(1738!1217),(1122!1245),,,(49!600),,,,,,,,,,,,(447!556),(919!617),(137!118),,,,,,,,,,,,(989!916),,,,,,,,,,,(1336!460),,,,,,,,,,,
979,,,(619!184),,(1678!760),(1579!1131),(1433!1024),(1738!1217),(1122!1246),,,,,,,,,,,,,,,,(914!617),(138!117),,,,,,,,,,,,(990!920),,,,,,,,,,,(1336!460),,,,,,,,,,,
980,,,(619!184),,(1678!759),(1579!1131),(1433!1024),(1738!1217),(1122!1245),,,,,,,,,,,,,,,,(914!617),(138!116),,,,,,,,,,,,(990!916),,,,,,,,,,,(1336!460),,,,,,,,,,,
981,,,(619!184),,(1679!760),(1579!1132),(1433!1024),(1739!1218),(1122!1245),,,(49!606),,,,,,,,,,,,,(920!617),(138!115),,,,,,,,,,,,(989!916),,,,,,,,,,(1336!461),(1124!653),,,,,,,,,,,
982,,,(619!184),,(1678!760),(1579!1132),(1433!1024),(1739!1217),(1122!1246),,,,,,,,,,,,,,,(444!556),(920!617),(139!114),,,,,,,,,,,,(992!920),,,,,,,,,,(1336!463),(1122!653),,,,,,,,,,,
983,,,(619!183),,(1678!760),(1579!1132),(1433!1024),(1740!1217),(1122!1246),,,,,,,,,,,,,,,,(920!618),(140!112),,,,,,,,,,,,(989!920),,,,,,,,,,(1336!464),(1122!653),,,,,,,,,,,
984,,,(619!183),,(1679!760),(1580!1131),(1433!1024),(1738!1218),(1122!1246),,,,,,,,,,,,,,,,(920!624),(140!111),,,,,,,,,,,,(992!920),,,,,,,,,,(1336!463),(1122!653),,,,,,,,,,,
985,,,(619!183),,(1679!760),(1579!1132),(1433!1024),(1739!1217),(1122!1247),,,,,,,,,,,,,,,(443!556),(920!618),(141!110),,,,,,,,,,,,(992!920),,,,,,,,,,(1336!463),,,,,,,,,,,,
986,,,(618!183),,(1679!760),(1579!1132),(1433!1024),(1741!1217),(1122!1247),,,(49!619),,,,,,,,,,,,,(920!618),(143!108),,,,,,,,,,,,(990!915),,,,,,,,,,(1336!463),(1123!653),,,,,,,,,,,
987,,,(618!183),,(1679!760),(1580!1132),(1433!1024),(1739!1217),(1122!1246),,,(49!620),,,,,,,,,,,,,(920!618),(143!107),,,,,,,,,,,,(990!916),,,,,,,,,,(1337!462),,,,,,,,,,,,
988,,,(618!184),,(1679!760),(1579!1131),(1433!1024),(1739!1217),(1122!1247),,,,,,,,,,,,,,,,(920!618),(143!107),,,,,,,,,,,,(990!920),,,,,,,,,,(1336!461),,,,,,,,,,,,
989,,,(613!178),,(1678!760),(1579!1131),(1434!1025),(1739!1217),(1122!1247),,,,,,,,,,,,,,,,(919!618),(144!106),,,,,,,,,,,,(990!920),,,,,,,,,,(1336!461),,,,,,,,,,,,
990,,,(618!183),,(1678!760),(1578!1131),(1433!1027),(1740!1218),(1122!1247),,,,,,,,,,,,,,,,(919!619),(145!106),,,,,,,,,,,,(991!920),,,,,,,,,,(1336!460),,(1122!653),,,,,,,,,,
991,,,(617!183),,(1679!760),(1579!1131),(1433!1024),(1739!1217),(1122!1247),,,(46!626),,,,,,,,,,,,,(920!624),(145!105),,,,,,,,,,,,(991!915),,,,,,,,,,(1336!462),,,,,,,,,,,,
992,,,(617!183),,(1679!760),(1578!1131),(1433!1024),(1739!1217),(1121!1247),,,(45!631),,,,,,,,,,,,,(919!624),(145!104),,,,,,,,,,,,(991!919),,,,,,,,,,(1336!462),,,,,,,,,,,,
993,,,(617!183),,(1679!759),(1579!1131),(1432!1024),(1739!1218),(1122!1247),,,(45!628),,,,,,,,,,,,,(919!618),(147!103),,,,,,,,,,,,(993!915),,,,,,,,,,(1336!463),,,,,,,,,,,,
994,,,(617!183),,(1678!760),(1579!1131),(1433!1024),(1739!1218),(1122!1247),,,(44!631),,,,,,,,,,,,,(919!618),(148!102),,,,,,,,,,,,(991!915),,,,,,,,,,(1336!461),(1124!653),,,,,,,,,,,
995,,,(617!183),,(1679!760),(1578!1131),(1433!1024),(1739!1218),(1121!1246),,,,,,,,,,,,,,,,(919!618),(148!102),,,,,,,,,,,,(991!915),,,,,,,,,,(1336!462),(1125!653),,,,,,,,,,,
996,,,(617!183),,(1679!760),(1578!1131),(1433!1024),(1738!1217),(1122!1246),,,,,,,,,,,,,,,,(919!618),(150!101),,,,,,,,,,,,(991!915),,,,,,,,,,(1336!461),(1123!653),,,,,,,,,,,
997,,,(617!184),,(1679!760),(1578!1131),(1433!1024),(1738!1217),(1122!1246),,,,,,,,,,,,,,,,(920!618),(151!100),,,,,,,,,,,,(993!915),,,,,,,,,,(1336!460),(1237!566),,,,,,,,,,,
998,,,(617!184),,(1679!760),(1579!1131),(1433!1024),(1739!1217),(1122!1246),,,(44!636),,,,,,,,,,,,,(918!618),(151!99),,,,,,,,,,,,(992!920),,,,,,,,,,(1336!460),(1420!381),,,,,,,,,,,
999,,,(617!185),,(1679!760),(1580!1132),(1433!1024),(1739!1217),(1122!1246),,,,,,,,,,,,,,,,(919!623),(152!98),,,,,,,,,,,,(992!920),,,,,,,,,,(1240!562),(1336!461),,,,,,,,,,,
1000,,,(617!187),,(1679!760),(1580!1131),(1433!1023),(1738!1217),(1121!1245),,,(43!634),,,,,,,,,,,,,(920!624),(153!97),,,,,,,,,,,,(992!920),,,,,,,,,,,(1336!461),,,,,,,,,,,
1001,,,(617!187),,(1679!760),(1579!1131),(1433!1023),(1739!1217),(1121!1246),,,,,,,,,,,,,,,,(914!621),(154!97),,,,,,,,,,,,(991!920),,,,,,,,,,,(1336!461),,,,,,,,,,,
1002,,,(616!189),,(1679!760),(1580!1131),(1433!1023),(1739!1219),(1122!1246),,,(45!645),,,,,,,,,,,,,(914!621),(154!96),,,,,,,,,,,,(991!920),,,,,,,,,,,(1336!461),,,,,,,,,,,
1003,,,(614!182),,(1678!760),(1579!1131),(1433!1023),(1739!1217),(1121!1246),,,(46!648),,,,,,,,,,,,,(917!621),(155!96),,,,,,,,,,,,(992!920),,,,,,,,,,,(1336!461),,,,,,,,,,,
1004,,,(616!190),,(1678!760),(1579!1131),(1433!1023),(1739!1219),(1121!1246),,,(45!649),,,,,,,,,,,,,(914!621),(155!96),,,,,,,,,,,,(994!916),,,,,,,,,,,(1336!460),,,,,,,,,,,
1005,,,(615!190),,(1678!759),(1579!1131),(1433!1023),(1739!1217),(1120!1246),,,,,,,,,,,,,,,,(914!621),(156!95),,,,,,,,,,,,(994!916),,,,,,,,(1122!653),,,(1336!462),,,,,,,,,,,
