frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_13,ID_14,ID_15,ID_16,ID_18,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27,ID_28,ID_29,ID_31,ID_34,ID_35,ID_36,ID_37,ID_38,ID_39,ID_40,ID_41,ID_42,ID_43,ID_44,ID_45,ID_46,ID_47,ID_48,ID_50,ID_51,ID_52,ID_53,ID_54,ID_55,ID_56,ID_57,ID_58,ID_59,ID_60,ID_61,ID_62,ID_63,ID_64,ID_65,ID_66,ID_68,ID_69,ID_70,ID_71,ID_72,ID_73,ID_74,ID_75,ID_76,ID_77,ID_80,ID_81,ID_82,ID_83,ID_84,ID_85,ID_86,ID_88,ID_89,ID_90,ID_91,ID_92,ID_93,ID_94,ID_95,ID_96,ID_98,ID_99
23,,(919!446),(1731!740),,(1734!873),,(1061!1209),(897!1246),(1288!1287),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,(22!315),(919!445),(1731!740),(1733!671),(1734!872),,(1059!1209),(897!1246),(1287!1286),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,(20!313),(918!444),(1731!739),,(1732!872),,(1060!1208),(896!1245),(1285!1285),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,(19!312),(918!444),(1731!739),,(1739!883),,(1058!1208),(898!1245),(1284!1286),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,(21!308),(918!444),(1730!738),(1731!665),(1732!872),,(1059!1208),(898!1244),(1283!1286),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,(23!307),(918!444),(1731!739),(1733!671),(1733!872),,(1060!1208),(898!1245),(1283!1286),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,(23!311),(918!444),(1731!739),,(1733!872),,(1060!1208),(897!1244),(1283!1287),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,(25!309),(919!443),(1731!739),,(1733!872),,(1060!1209),(899!1249),(1282!1288),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,(27!311),(919!443),(1732!740),(1733!672),(1733!873),,(1060!1209),(897!1245),(1282!1288),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,(28!322),(920!443),(1731!740),(1734!672),(1733!873),,(1060!1209),(900!1246),(1281!1288),,(773!104),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,(920!444),(1732!740),(1732!667),(1734!873),,(1061!1210),(900!1246),(1281!1288),(1395!840),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,(920!443),(1732!741),(1731!667),(1734!873),,(1060!1210),(897!1247),(1280!1289),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,(920!443),(1732!741),(1731!667),(1734!873),,(1060!1210),(897!1247),(1279!1289),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,(26!332),(920!443),(1735!715),,(1733!873),,(1060!1211),(897!1246),(1278!1288),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,(920!443),(1732!672),(1732!740),(1734!873),,(1059!1209),(897!1246),(1276!1288),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,(41!307),(920!443),,(1732!740),(1733!873),,(1060!1209),(898!1246),(1276!1287),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,(50!306),(920!442),(1734!666),(1732!739),(1733!872),(1393!1218),(1060!1208),(897!1245),(1275!1285),,(785!99),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,(53!312),(920!442),(1730!666),(1732!739),(1733!872),,(1060!1209),(897!1245),(1274!1287),,(787!98),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,(55!311),(920!442),(1730!666),(1732!719),(1733!872),,(1060!1208),(897!1245),(1274!1285),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,(54!310),(919!442),,(1731!719),(1733!872),,(1061!1208),(902!1248),(1271!1285),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,(53!310),(920!442),(1733!676),(1731!739),(1733!872),,(1060!1206),(899!1246),(1272!1285),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,(54!310),(920!442),(1736!697),(1732!739),(1733!873),,(1060!1208),(897!1247),(1271!1286),,(795!96),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,(53!309),(922!442),,(1733!740),(1734!873),,(1061!1209),(897!1246),(1270!1287),,(797!96),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,(52!310),(921!443),,(1732!739),(1735!873),,(1061!1209),(898!1250),(1275!1283),,(799!96),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,(51!310),(922!443),,(1734!716),(1734!873),,(1061!1209),(897!1247),(1273!1283),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,(52!310),(921!443),,(1734!717),(1734!873),,(1061!1209),(903!1247),(1266!1289),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,(52!310),(922!443),,(1731!740),(1733!873),,(1060!1210),(897!1247),(1265!1289),,(800!91),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,(52!310),(921!443),(1736!694),(1734!721),(1733!873),,(1060!1210),(898!1250),(1269!1283),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,(52!310),(921!442),(1729!667),(1731!739),(1733!873),,(1060!1209),(902!1246),(1263!1288),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,(51!309),(921!442),(1733!719),(1394!840),(1733!872),(1395!1223),(1060!1209),(897!1245),(1262!1288),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,(52!309),(921!442),(1731!739),,(1733!872),,(1059!1209),(898!1246),(1261!1287),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,(52!309),(920!442),(1731!739),,(1733!872),,(1059!1208),(898!1245),(1260!1286),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,(50!309),(920!441),(1733!718),,(1733!872),,(1059!1209),(898!1246),(1259!1287),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,(52!309),(921!441),(1731!739),,(1393!840),(1396!1225),(1060!1209),(896!1247),(1259!1288),,(813!84),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,(49!309),(921!441),(1733!738),,(1394!840),,(1060!1209),(899!1248),(1258!1288),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,(52!310),(921!441),(1732!739),,,,(1060!1209),(899!1246),(1262!1282),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,(52!310),(922!442),,,,,(1060!1210),(903!1250),(1255!1288),,,,(1734!720),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,(52!310),(922!442),(1730!667),,,,(1061!1210),(903!1250),(1254!1289),,(819!81),,(1735!720),,(1734!873),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,(52!310),(923!442),,,,,(1061!1210),(903!1251),(1253!1289),,(820!79),,(1734!722),,(1736!873),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,(52!310),(923!442),,,,,(1060!1210),(897!1247),(1252!1289),(1395!842),,,(1731!740),,(1736!873),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,(51!310),(922!442),,,,,(1060!1209),(898!1246),(1251!1288),,(824!76),,(1731!740),,(1734!874),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,(52!309),(922!442),(1729!666),,,,(1060!1210),(898!1246),(1250!1288),,,,(1731!740),,(1733!873),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,(52!309),(921!441),(1730!666),,,(1397!1225),(1060!1208),(898!1246),(1249!1288),(1394!841),(827!75),(921!959),(1733!720),,(1733!872),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,(52!309),(920!442),,,,(1395!1225),(1059!1208),(898!1245),(1247!1287),,(829!74),,(1733!720),,(1733!873),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,(52!309),(921!441),,,,,(926!960),(902!1245),(1247!1287),,(831!73),(1059!1209),(1731!738),,(1733!872),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,(52!309),(921!441),,,,(1395!1225),,(902!1245),(1246!1287),,(832!73),(1059!1206),(1731!738),,(1733!872),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,(53!309),(921!441),,,,,,(902!1245),(1245!1287),(1394!840),,(796!1122),(1733!720),,(1733!872),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,(52!309),(920!441),,,,(1396!1225),,(897!1245),(1244!1288),(1394!841),,,(1731!740),,(1733!872),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,(52!309),(921!441),,,,(1397!1226),,(899!1246),(1243!1288),,(837!71),,(1732!740),,(1734!873),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,(52!309),(922!442),,,,,,(902!1250),(1242!1289),,(839!71),,(1734!720),,(1733!873),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,(52!310),(922!442),,,,(1397!1226),,(903!1246),(1243!1289),(1394!842),,,(1732!740),,(1733!873),(1060!1210),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,(53!310),(921!442),,,,,,(896!1247),(1243!1289),,,,(1732!740),,(1734!874),(1060!1210),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,(53!310),(921!442),,,,,,(896!1247),(1242!1290),,,,(1735!719),,(1734!876),(1060!1210),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,(53!310),(921!442),(1732!740),,,,,(898!1247),(1241!1290),,(846!66),,(1730!667),,(1734!874),(1060!1210),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,(53!309),(920!441),(1731!740),,,,,(902!1247),(1240!1289),,(847!65),,,,(1733!873),(1059!1209),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,(52!309),(919!442),(1732!740),,,,,(897!1247),(1240!1287),,(850!64),,(1730!666),,(1733!873),(1060!1209),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,(920!441),,,,,,(896!1246),(1239!1289),,(851!63),,,,(1733!873),(1060!1209),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,(52!309),(920!440),(1731!739),,,,,(899!1246),(1238!1288),,(853!63),,,,(1733!872),(1060!1209),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,(51!308),(920!440),(1733!719),,,,,(899!1246),(1237!1288),,,,,,(1733!872),(1060!1209),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,(51!308),(920!441),(1731!739),,,,,(896!1245),(1237!1288),,(855!62),,,(1714!133),(1733!873),(1060!1209),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,(51!309),(921!441),(1731!740),,,,,(898!1248),(1236!1289),,,,,,(1733!873),(1060!1209),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,(51!309),(922!441),(1731!739),,,,,(898!1246),(1236!1289),,(858!61),,,,(1733!873),(1059!1209),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,(49!309),(921!441),(1731!740),,,,,(897!1246),(1236!1289),,,,,,(1734!873),(1060!1209),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,(52!309),(921!441),(1732!740),,,,,(899!1250),(1236!1289),,,,,,(1733!873),(1060!1208),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,(52!309),(921!441),(1731!740),,,,,(899!1247),(1236!1289),,,,,,(1733!874),(1061!1210),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,(52!310),(921!442),(1731!740),,,,,(898!1249),(1235!1289),,,,,,(1733!874),(1060!1210),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,(52!309),(921!442),,,,,,(898!1250),(1234!1290),,,,,,(1733!874),(1060!1210),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,(52!309),(921!442),(1733!720),,,,,(899!1247),(1235!1289),,,,,,(1734!873),(1060!1210),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,(52!309),(921!441),(1731!740),,,,,(899!1247),(1234!1288),,,,,,(1733!873),(1060!1210),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,(52!308),(920!441),,,,,,(899!1246),(1238!1281),,(873!64),,,,(1734!873),(1060!1209),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,(52!308),(920!441),(1732!740),,,,,(896!1246),(1234!1288),,(874!64),,(1731!666),,(1733!873),(1058!1209),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,(918!440),(1732!740),,,,,(898!1246),(1233!1288),,,,,,(1733!873),(1059!1209),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,(54!308),(920!441),(1730!735),,,,,(899!1246),(1233!1287),,(878!64),,,(1715!133),(1733!873),(1058!1209),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,(56!309),(920!441),(1732!739),,,,,(898!1246),(1233!1287),,,,,(1715!133),(1733!873),(1059!1209),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
