frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_13,ID_14,ID_15,ID_16,ID_18,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27,ID_28,ID_29,ID_31,ID_34,ID_35,ID_36,ID_37,ID_38,ID_39,ID_40,ID_41,ID_42,ID_43,ID_44,ID_45,ID_46,ID_47,ID_48,ID_50,ID_51,ID_52,ID_53,ID_54,ID_55,ID_56,ID_57,ID_58,ID_59,ID_60,ID_61,ID_62,ID_63,ID_64,ID_65,ID_66,ID_68,ID_69,ID_70,ID_71,ID_72,ID_73,ID_74,ID_75,ID_76,ID_77,ID_80,ID_81,ID_82,ID_83,ID_84,ID_85,ID_86,ID_88,ID_89,ID_90,ID_91,ID_92,ID_93,ID_94,ID_95,ID_96,ID_98,ID_99
292,,(922!443),,,,,,(902!1248),,,(1115!244),,(1729!666),,,,,,,,,(1059!1210),,,(1731!740),,,(1736!872),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,,(922!443),,,,,,(903!1250),,,,,(1731!666),,,,(768!1134),,,,,(1059!1210),,,(1731!741),,,(1736!872),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,,(921!443),,,,,,(901!1249),,,,,(1730!666),,,,(768!1134),,,,,(1057!1210),,,(1731!741),,,(1735!872),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,(29!347),(921!444),,,,,,(901!1249),,,,,(1730!666),,,,,,,,,(1057!1210),,,(1733!720),,,(1736!872),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,(32!349),(921!445),,,,,,(901!1249),,,,,(1730!666),,,,,,,,,(1056!1210),,,(1730!740),,,(1734!871),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,(34!351),(921!444),,,,,,(902!1249),,,,,(1730!666),,,,(767!1134),,,,,(1055!1210),,,(1730!740),,,(1737!871),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,(33!350),(921!445),,,,,,(901!1249),,,,,(1730!666),,,,(767!1134),,,,,(1054!1210),,,(1730!740),,,(1735!871),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,(36!351),(921!445),,,,,,(900!1249),,,,,(1729!666),,,,(767!1134),,,,,(1054!1209),,,(1731!740),,,(1735!870),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,(36!349),(921!445),,,,,,(904!1251),,,,,(1729!666),,,,(767!1134),,,,,(1053!1210),,,(1730!741),,,(1735!871),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,(38!351),(921!445),,,,,,(904!1251),,,,,,,,,(767!1133),,,,,(1052!1210),,,(1731!741),,,(1644!1169),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,(39!352),(922!445),,,,,,(904!1251),,,,,,,,,(767!1134),,,,,(1052!1209),,,(1731!741),,,(1701!1272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,(38!353),(919!449),,,,,,(901!1250),,,(1115!245),,,,,,(768!1134),,,,,(1051!1209),,,(1731!741),,,(1701!1272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,(41!351),(922!444),,,,,,(902!1250),,,(1115!245),,,,,,(768!1134),,,,,(1051!1209),,,(1732!741),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,,(922!444),,,,,,(902!1250),,,(1114!244),,(1731!666),,,,(768!1134),,,,,(1051!1208),,,(1732!740),,,,(1737!870),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,(29!349),(922!444),,,,,,(902!1250),,,,,(1731!666),,,,(768!1134),,,,,(1051!1209),,,(1732!741),,,,(1737!870),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,,(922!444),,,,,,(903!1250),,,,,,,,,,,,,,(1051!1209),,,(1732!741),,,,(1736!871),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,(40!344),(922!443),,,,,,(908!1250),,,(1115!243),,(1730!666),,,,(768!1134),,,,,(1051!1209),,,(1732!741),,,(1702!1272),(1737!870),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,(28!349),(921!444),,,,,,(905!1252),,,(1114!244),,(1729!666),,,,(763!1135),,,,,(1050!1209),,,(1732!741),,,,(1736!870),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,(27!349),(921!444),,,,,,(905!1252),,,(1114!245),,(1730!667),,,,(768!1134),,,,,(1050!1208),,,(1731!741),,,,(1735!868),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,(27!349),(921!443),,,,,,(902!1250),,,,,(1730!666),,,,,,,,,(1050!1208),,,(1731!741),,,,(1735!871),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,(27!349),(921!443),,,,,,(902!1250),,,,,(1728!666),,,,(768!1133),,,,,(1049!1207),,,(1730!740),,,,(1735!869),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,(27!349),(921!443),,,,,,(901!1250),,,,,(1729!666),,,,,,,,,(1049!1207),,,(1731!739),,,,(1735!869),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,(27!349),(921!442),,,,,,(901!1250),,,(1114!244),,(1732!666),,,,(763!1134),,,,,(1049!1207),,,,,,,(1736!868),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,(26!348),(921!442),,,,,,(902!1250),,,,,(1729!666),,,,,,,,,(1049!1206),,,(1732!740),,,,(1735!869),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,,(921!442),,,,,,(901!1249),,,(1110!244),,(1729!666),,,,,,,,,(1049!1206),,,,,,,(1650!1153),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,,(921!442),,,,,,(908!1249),,,,,(1733!666),,,,,,,,,(1049!1206),,,(1732!739),,,,(1649!1156),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,,(919!447),,,,,,(902!1249),,,(1115!243),,(1734!672),,,,(768!1133),,,,,(1049!1207),,,(1732!740),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,,(922!442),,,,,,(903!1250),,,,,(1730!666),,,,(769!1133),,,,,(1048!1205),,,(1732!739),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,,(922!442),,,,,,(903!1250),,,,,(1729!666),,,,(769!1133),,,,,(1048!1205),,,(1732!740),,,,,,(1736!872),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,,(921!442),,,,,,(901!1250),,,,,,,,,(768!1133),,,,,(1047!1205),,,(1732!740),,,,,,(1735!868),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,,(921!442),,,,,,(908!1250),,,,,(1730!666),,,,(769!1133),,,,,(1047!1206),,,(1732!740),,,,,,(1735!869),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,,(921!442),,,,,,(902!1250),,,(1114!244),,(1729!666),,,,(769!1133),,,,,(1047!1206),,,(1732!739),,,,,,(1735!871),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,(27!347),(921!442),,,,,,(902!1250),,,(1114!244),,(1729!666),,,,,,,,,(1047!1206),,,(1731!736),,,,,,(1741!869),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,(28!345),(920!442),,,,,,(902!1250),,,(1115!244),,(1728!666),,,,(768!1133),,,,,(1046!1206),,,(1731!740),,,,,,(1735!869),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,(28!343),(921!442),,,,,,(901!1250),,,(1114!244),,(1728!666),,,,(768!1133),,,,,(1046!1205),,,(1731!740),,,,,,(1735!869),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,(28!344),(921!442),,,,,,(901!1249),,,(1114!244),,,,,,(763!1130),,,,,(1046!1206),,,(1731!739),(19!1161),,,,,(1735!868),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,(29!343),(921!442),,,,,,(902!1250),,,(1114!244),,,,,,,,,,,(1046!1203),,,,,,,,,(1735!868),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,(28!344),(921!442),,,,,,(901!1250),,,(1114!244),,,,,,,,,,,(1046!1200),,,(1731!736),,,,,,(1735!868),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,(28!343),(921!442),,,,,,(902!1250),,,(1114!244),,(1732!666),,,,(768!1133),,,,,(1045!1198),,,(1731!736),,,,,,(1735!869),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,,(922!441),,,,,,(902!1249),,,(1115!244),,,,,,(769!1133),,,,,(1046!1196),,,(1732!740),,,,,,(1741!867),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,,(922!441),,,,,,(902!1250),,,(1114!244),,,,,,(769!1133),,,,,(1045!1195),,,(1732!739),,,,,,(1741!870),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,,(922!441),,,,,,(902!1250),,,(1114!244),,(1729!667),,,,(769!1133),,,,,(1044!1194),,,(1732!740),,,,,,(1736!867),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,,(922!440),,,,,,(901!1250),,,(1114!244),,,,,,(769!1133),,,,,(1043!1194),,,(1732!740),,,,,,(1741!870),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,,(922!440),,,,,,(901!1250),,,(1114!244),,,,,,(768!1133),,,,,(1043!1194),,,(1735!711),(18!1162),,,,,(1736!868),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,(29!340),(922!440),,,,,,(902!1251),,,(1114!244),,,,,,(768!1134),,,,,(1043!1194),,,(1732!740),,,,,,(1736!868),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,(27!340),(922!440),,,,,,(901!1250),,,(1114!245),,(1733!672),,,,(768!1133),,,,,(1042!1193),,,(1732!740),,,,,,(1737!867),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,(27!339),(922!441),,,,,,(901!1250),,,(1114!245),,,,,,(768!1133),,,,,(1042!1193),,,(1734!720),,,,,,(1735!869),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,(32!340),(921!441),,,,,,(901!1250),,,(1114!245),,,,,,,,,,,(1041!1193),,,(1731!740),(19!1162),,,,,(1736!868),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,(34!341),(921!441),,,,,,(901!1250),,,(1114!245),,,,,,,,,,,(1047!1194),,,,,,,,,(1735!868),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,(35!341),(921!441),,,,,,(900!1250),,,(1114!245),,,,,,,,,,,(1041!1191),,,(1731!739),,,,,,(1740!868),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,(34!341),(921!441),,,,,,(901!1249),,,(1114!245),,,,,,,,,,,(1041!1191),,,,,,,,,(1736!867),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,,(921!441),,,,,,(902!1250),,,(1114!244),,(1732!667),,,,(769!1133),,,,,(1042!1190),,,(1732!739),,,,,,(1735!869),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,,(921!442),,,,,,(902!1250),,,(1114!245),,(1728!667),,,,(769!1133),,,,,(1042!1190),,,(1734!719),,,,,,(1736!868),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,,(921!441),,,,,,(902!1250),,,(1114!245),,,,,,(769!1133),,,,,(1042!1190),,,(1732!739),,,,,,(1736!868),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,,(921!441),,,,,,(908!1250),,,,,(1736!673),,,,,,,,,(1042!1190),,,(1732!740),,,,,,(1735!868),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,,(922!441),,,,,,(902!1250),,,,,(1736!673),,,,(769!1133),,,,,(1041!1189),,,(1732!740),,,,,,(1735!867),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,,(922!442),,,,,,(901!1250),,,(1114!244),,(1731!668),,,,,,,,,(1041!1189),,,(1732!740),,,,,,(1736!867),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,,(922!441),,,,,,(903!1250),,,,,,,,,,,,,,(1041!1189),,,(1732!740),,,,,,(1735!867),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,,(922!441),,,,,,(901!1250),,,(1114!243),,(1729!669),,,,,,,,,(1041!1189),,,(1732!740),(18!1161),,,,,(1736!868),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,,(922!441),,,,,,(901!1250),,,(1114!244),,,,,,(769!1133),,,,,(1041!1189),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,(29!331),(921!442),,,,,,(901!1250),,,(1113!244),,(1735!657),,,,,,,,,(1040!1189),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,,(921!441),,,,,,(901!1250),,,(1113!244),,(1735!659),,,,(769!1133),,,,,(1041!1188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,,(921!442),,,,,,(902!1251),,,(1113!244),,(1734!658),,,,(769!1133),,,,,(1041!1189),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,,(921!442),,,,,,(902!1250),,,(1113!244),,(1740!858),,,,(769!1133),,,,,(1041!1188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,(29!332),(921!442),,,,,,(902!1250),,,(1114!244),,(1735!868),,,,,,,,,(1041!1188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,(35!331),(921!442),,,,,,(902!1251),,,(1114!244),,(1739!868),,,,(769!1133),,,,,(1041!1189),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,(30!331),(921!442),,,,,,(902!1250),,,(1114!244),,(1740!865),,,,(769!1133),,,,,(1041!1189),,,(1735!712),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,(30!331),(921!442),,,,,,(905!1252),,,(1114!240),,(1740!865),,,,(769!1133),,,,,(1041!1189),,,(1733!740),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,,(921!442),,,,,,(908!1250),,,(1114!244),,(1740!867),,,,,,,,,(1041!1188),,,(1735!710),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,,(921!443),,,,,,(903!1250),,,(1114!245),,(1739!866),,,,,,,,,(1041!1188),,,(1732!740),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,,(921!443),,,,,,(902!1250),,,(1114!244),,(1736!866),,,,(769!1133),,,,,(1041!1189),,,(1731!740),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,(34!333),(921!443),,,,,,(902!1250),,,(1114!244),,(1740!866),,,,,,,,,(1041!1189),,,(1731!736),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,(30!334),(921!443),,,,,,(901!1250),,,(1113!244),,(1735!866),,,,,,,,,(1041!1189),,,(1732!740),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,(30!333),(921!443),,,,,,(902!1250),,,(1113!244),,(1735!866),,,,,,,,,(1041!1188),,,(1735!707),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,(29!332),(921!442),,,,,,(901!1250),,,(1113!244),,(1739!867),,,,,,,,,(1041!1187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,,(921!442),,,,,,(901!1250),,,(1113!244),,,,,,,,,,,(1040!1187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,,(921!442),,,,,,(901!1250),,,(1113!244),,(1740!862),,,,,,,,,(1040!1187),,,,(18!1160),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,,(921!442),,,,,,(902!1250),,,(1113!244),,(1741!865),,,,,,,,,(1040!1187),,,(1730!739),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,,(920!442),,,,,,(903!1250),,,(1113!244),,(1740!866),,,,,,,,,(1040!1187),,,(1731!739),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,,(921!442),,,,,,(902!1249),,,(1114!244),,(1741!867),,,,,,,,,(1040!1187),,,(1731!739),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,,(921!442),,,,,,(902!1249),,,(1113!244),,(1741!866),,,,,,,,,(1040!1186),,,(1732!739),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,,(921!442),,,,,,(902!1249),,,(1113!244),,(1740!866),,,,,,,,,(1040!1187),,,(1732!739),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,,(921!442),,,,,,(903!1250),,,(1113!244),,(1739!866),,,,,,,,,(1040!1187),,,(1733!739),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,,(921!443),,,,,,(903!1249),,,(1113!242),,(1741!869),,,,,,,,,(1040!1187),,,(1734!707),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,,(921!443),,,,,,(902!1249),,,(1113!244),,(1739!867),,,,,,,,,(1039!1187),,,(1733!686),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,(46!329),(920!443),,,,,,(903!1249),,,(1113!244),,(1740!856),,,,,,,,,(1037!1187),,,(1722!653),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,(42!326),(921!443),,,,,,(905!1251),,,(1113!244),,(1735!867),,,,,,,,,(1039!1186),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,(42!332),(920!443),,,,,,(903!1249),,,(1113!244),,(1735!867),,,,,,,,,(1039!1186),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,,(920!443),,,,,,(903!1249),,,(1113!244),,(1736!866),,,,,,,,,(1039!1186),,,,,,,,,,,(1731!739),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,,(920!442),,,,,,(905!1251),,,(1113!244),,(1736!866),,,,,,,,,(1038!1186),,,,,,,,,,,(1731!739),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,,(920!443),,,,,,(903!1249),,,(1113!244),,(1734!867),,,,,,,,,(1036!1186),,,,,,,,,,,(1739!723),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,(44!331),(920!442),,,,,,(902!1249),,,(1113!244),,(1734!868),,,,,,,,,(1036!1186),,,,(18!1159),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,,(921!442),,,,,,(903!1249),,,(1113!244),,(1735!866),,,,,,,,,(1037!1186),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,(47!330),(921!443),,,,,,(902!1249),,,(1113!244),,(1736!869),,,,,,,,,(1038!1186),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,,(921!443),,,,,,(903!1249),,,(1113!244),,(1735!866),,,,,,,,,(1039!1186),,,,,,,,,,,,(1732!739),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,,(921!443),,,,,,(903!1250),,,(1113!244),,(1736!868),,,,,,,,,(1039!1187),,,,,,,,,,,,(1732!739),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,,(921!443),,,,,,(903!1249),,,(1113!244),,(1741!867),,,,,,,,,(1037!1186),,,,,,,,,,(1463!966),,(1732!739),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,,(921!443),,,,,,(902!1250),,,(1113!244),,(1740!869),,,,,,,,,(1036!1186),,,,,,,,,,(1463!966),,(1732!739),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,,(921!443),,,,,,(903!1249),,,(1113!243),,(1741!866),,,,,,,,,(1037!1187),,,,,,,,,,,(1728!683),(1732!739),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,(33!329),(921!443),,,,,,(902!1249),,,(1113!244),,(1741!821),,,,,,,,,(1037!1187),,,,,,,,,,,(1728!687),(1732!739),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,(34!329),(920!443),,,,,,(903!1250),,,(1113!244),,(1736!867),,,,,,,,,(1038!1187),,,,,,,,,,,(1738!706),(1732!739),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,(27!329),(920!443),,,,,,(903!1249),,,(1113!244),,(1736!867),,,,,,,,,(1037!1186),,,,,,,,,,,,(1732!739),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,(27!329),(920!443),,,,,,(904!1249),,,(1113!244),,(1741!865),,,,,,,,,(1037!1186),,,,(18!1160),,,,,,,,(1732!739),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,(33!329),(920!443),,,,,,(904!1249),,,(1113!244),,(1740!866),,,,,,,,,(1038!1186),,,,(18!1160),,,,,,,,(1732!739),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,(36!328),(921!443),,,,,,(903!1249),,,(1112!244),,(1734!868),,,,,,,,,(1038!1186),,,,,,,,,,,,(1732!739),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,(34!330),(921!443),,,,,,(903!1249),,,(1112!244),,(1735!868),,,,,,,,,(1038!1186),,,,,,,,,,,,(1732!739),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,(27!329),(921!443),,,,,,(904!1249),,,(1112!244),,(1740!813),,,,,,,,,(1038!1186),,,,,,,,,,,,(1732!739),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,(35!329),(921!443),,,,,,(903!1249),,,(1112!244),,(1741!866),,,,,,,,,(1037!1186),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
