frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_24,ID_27,ID_28,ID_29,ID_30,ID_31,ID_32,ID_34,ID_36,ID_38,ID_40,ID_41,ID_42,ID_43,ID_47,ID_48,ID_50,ID_51,ID_52,ID_53,ID_55,ID_56,ID_57,ID_58,ID_59,ID_61,ID_64,ID_66,ID_69,ID_70,ID_71,ID_72,ID_73,ID_74,ID_77,ID_79,ID_80,ID_82,ID_83,ID_84,ID_85,ID_86,ID_87,ID_88,ID_89,ID_90,ID_91,ID_92,ID_93,ID_94,ID_95,ID_96,ID_97,ID_98,ID_99,ID_100,ID_101,ID_102,ID_103,ID_104,ID_105,ID_106,ID_107,ID_108,ID_109,ID_110,ID_111,ID_112,ID_113,ID_114,ID_115,ID_116,ID_117,ID_118,ID_119,ID_120,ID_121,ID_122,ID_124,ID_125,ID_127,ID_129,ID_130,ID_131,ID_133,ID_134,ID_135,ID_137,ID_138,ID_139,ID_140,ID_141,ID_143,ID_144,ID_145,ID_147,ID_148,ID_149,ID_150,ID_151,ID_153,ID_154,ID_155,ID_156,ID_157,ID_158,ID_159,ID_160,ID_161,ID_162,ID_164,ID_165,ID_166,ID_167,ID_168,ID_169,ID_170
43,(1122!41),(1748!374),,(1471!868),(46!858),(1663!1101),(832!1148),,,,,,(1699!692),(1101!1025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,(1121!41),(1748!374),,(1472!868),(47!856),(1663!1099),(831!1148),,,,,(685!1160),,(1101!1028),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,(1121!41),(1747!374),,(1472!873),(47!855),(1663!1100),(832!1147),,,,,(685!1160),,(1102!1031),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,(1121!42),(1746!375),,(1472!869),(46!854),(1662!1101),(832!1153),,,,,(685!1161),,(1100!1035),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,(1120!42),(1746!374),,(1473!869),(47!853),(1663!1100),(831!1150),,,,,,,(1100!1036),,,(1755!716),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,(1119!42),(1746!375),(1753!577),(1472!874),(47!853),(1663!1100),(831!1149),,,,,,,(1102!1034),(1518!1079),,(1755!718),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,(1118!42),(1747!369),,(1472!869),(46!853),(1661!1101),(685!1162),,,,,,,,(1521!1081),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,(1117!43),(1747!375),,(1703!712),(46!852),(1661!1101),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,(1116!43),(1747!374),,,(48!851),(1664!1101),,,,,,(685!1161),,,(1522!1085),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,(1115!43),(1746!374),,,(47!851),(1663!1099),,,,,,(684!1161),,,,(911!103),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,(1113!42),(1747!374),,,(47!852),(1661!1099),,,,,,(685!1160),,,(1522!1087),,,,(831!1151),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,(1112!42),(1746!374),,,(48!851),(1662!1099),,,,,,,,,,,,,(831!1150),(1754!726),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,(1112!42),(1747!374),,,(49!849),(1663!1100),,,,,,,,(1095!1057),,,,,(831!1150),(1754!742),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,(1112!42),(1747!374),,,(49!849),(1660!1100),,,,,,,,(1095!1060),,,,,(831!1151),(1754!743),(1472!874),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,(1110!42),(1747!374),(1751!573),,(50!847),(1664!1100),,,,,,,,(1094!1062),,,(1749!647),,(832!1150),(1753!733),(1472!873),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,(1108!42),(1747!374),(1749!572),,(50!842),(1664!1100),,,,,,,,(1093!1065),,,,,(831!1150),,(1523!1088),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,(1107!42),(1747!373),(1745!577),,(52!843),(1662!1100),,,,,,,,,,,,,(831!1151),,(1472!868),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,(1107!43),(1747!374),(1748!576),,(51!841),(1663!1100),,,,,,,,,(1523!1090),,,,(831!1150),,(1472!873),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,(1106!43),(1747!374),(1745!575),,(53!839),(1665!1101),,,,,,,,,,,,,(831!1151),,(1471!869),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,(1105!43),(1748!374),(1746!574),,(53!837),(1663!1100),,,,,,,,,(1525!1092),,,,(831!1151),(1754!744),(1470!869),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,(1105!43),(1747!375),(1746!573),,(53!837),(1664!1101),,,,,,,,(1091!1083),,,,,(831!1151),,(1470!869),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,(1103!43),(1746!374),(1746!571),,(55!835),(1663!1101),,,,(1565!324),,,,,(1526!1095),,,,(831!1151),,(1471!872),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,(1102!43),(1746!374),(1757!750),,(54!834),(1662!1100),,,,,,,,(1088!1087),,,,,(831!1148),,(1471!869),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,(1101!43),(1746!374),,,(55!833),(1663!1100),,,,,,,,,(1528!1100),,,,(832!1148),,(1471!872),(1747!569),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
