frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_8,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27,ID_28,ID_29,ID_30,ID_31,ID_32,ID_33,ID_34,ID_35,ID_36,ID_37,ID_38,ID_41,ID_42,ID_43,ID_44,ID_45,ID_46,ID_47,ID_50,ID_51,ID_52,ID_53,ID_54,ID_55,ID_57,ID_58,ID_59,ID_60,ID_63,ID_64,ID_66,ID_67,ID_69,ID_70,ID_72,ID_73,ID_74,ID_76,ID_77,ID_78,ID_79,ID_80,ID_81,ID_82,ID_83,ID_84,ID_85,ID_86,ID_87,ID_88,ID_90,ID_91,ID_92,ID_93,ID_94,ID_95,ID_96,ID_97,ID_99,ID_100,ID_101,ID_102,ID_103,ID_104,ID_105,ID_106,ID_107,ID_108,ID_109,ID_110,ID_111,ID_112,ID_114,ID_115,ID_117,ID_118,ID_119,ID_120,ID_121,ID_122,ID_124,ID_125,ID_126,ID_127,ID_130,ID_132,ID_134,ID_135,ID_136,ID_137,ID_142,ID_143,ID_144,ID_145,ID_146,ID_147,ID_148,ID_149,ID_150,ID_151,ID_152,ID_153
539,(276!93),,,,,,,,,,(539!248),,,,,,,,,,,,,,,,,,,,,,,(1546!680),,,,(1140!200),(1413!582),,,,,,,,(1129!1341),,,,,,,,(1461!261),,(1028!1340),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,(276!91),,,,,,,,,,(535!251),,,,,,,,,,,(998!577),,,,,,,(346!620),,,,,(1546!680),,,,,(1172!667),,,,,,,,(1124!1341),,,,,,,,(1460!261),,(1028!1340),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,(276!93),,,,,,,,,,(539!253),,,,,,,,,,,(996!579),,,,,,,(346!620),,,,,(1546!682),,,,,(1115!785),,,,,,,,(1124!1341),,,,,,,,(1139!201),(1413!582),(1025!1341),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,(276!92),,,,,,,,,,(534!254),,,,,,,,,,,(1177!667),,,,,,,,,,,,(1546!679),,,,,(1113!785),,,,,,,,(1114!1341),,,,,,(1460!261),,(1139!200),(1413!582),(1029!1341),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,(276!95),,,,,,,,,,(539!254),,,,,,,,,,,(1178!667),,,,,,,(348!620),,,,,(1546!679),,,,,(997!577),,,,,,,,,,,,,,(1460!261),,(1139!200),(1413!582),(1029!1341),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,(276!95),,,,,,,,,,(538!254),,,,,,,,,,,,,,,,,,(348!621),,,,,(1546!679),,,,,(996!579),,,,,,,,,,,,,,(1460!260),,(1140!200),(1413!582),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,(276!96),,,,,,,,,,(539!250),,,,,,,,,,,,,,,,,,(348!621),,,,,(1546!681),,,,,(996!579),,,,,,,,(1130!1341),,,,,,(1460!261),(1115!785),(1140!201),(1413!582),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,(276!96),,,,,,,,,,(539!250),,,,,,,,,,,,,,,,,,,,,,,(1546!679),,,,,(996!579),,,,,,,,(1128!1341),,,,,,,(1113!785),(1140!200),(1413!582),,(1178!666),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,(275!95),,,,,,,,,,(535!251),,,,,,,,,,,,,,,,,,(347!621),,,,,(1546!679),,,,,(996!582),,,,,,,,(1126!1341),,,,,,,,(1140!201),(1413!582),,(1174!667),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,(274!95),,,,,,,,,,(539!251),,,,,,,,,,,(1413!582),,,,,,,(20!687),,,,,(1546!679),,,,,,,,,,,,,(1126!1341),,,,,,,,(1140!200),(1461!260),(1025!1341),(1174!667),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,(274!96),,,,,,,,,,(538!250),,,,,,,,,,,(1413!582),,,,,,,(348!620),,,,,(1546!679),,,,,(996!578),,,,,,,,(1128!1341),,,,,,,(1114!784),,,(1028!1340),(1178!665),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,(274!96),,,,,,,,,,(539!254),,,,,,,,,,,(1460!260),,,,,,,(347!620),,,,,(1545!681),,,,,(1000!577),,,,,,,,(1124!1341),,,,,,,,,,(1028!1340),(1174!667),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,(274!93),,,,,,,,,,(539!252),,,,,,,,,,,(1460!262),,,,,,,(345!619),,,,,(1545!679),,,,,(995!578),,,,,,,,,,,,,,,(1117!790),(1140!200),,(1028!1340),(1174!667),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,(273!95),,,,,,,,,,(538!252),,,,,,,,,,,,,,,,,,(215!527),,,,,(1545!679),,,,,(996!582),,,,,,,,,,,,,,,(1114!785),,,(1124!1341),(1178!666),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
