frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_21,ID_23,ID_24,ID_25,ID_27,ID_28,ID_30,ID_31,ID_32,ID_33,ID_36,ID_37,ID_38,ID_39,ID_40,ID_41,ID_42,ID_43,ID_45,ID_49,ID_51,ID_54,ID_55,ID_57,ID_60,ID_64
21,"(1578,1326)","(1289,1316)","(1331,1217)","(476,1103)","(1592,1064)","(1320,959)","(1520,941)","(1530,877)","(1536,840)","(238,804)","(1333,780)","(52,775)","(1415,669)","(599,560)","(385,549)","(755,458)","(1317,444)","(1352,313)","(544,55)",,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"(1579,1326)","(1289,1317)","(1331,1218)","(475,1103)","(1592,1064)","(1319,960)","(1519,941)","(1531,877)","(1535,840)","(238,804)","(1333,780)","(51,775)","(1415,669)","(599,560)","(385,549)","(755,456)","(1320,444)","(1352,313)","(546,54)",,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"(1578,1326)","(1289,1317)","(1331,1217)","(475,1103)","(1592,1064)","(1319,959)","(1519,940)","(1530,877)","(1535,839)","(238,804)","(1333,780)","(52,775)","(1415,669)","(599,560)","(385,548)","(755,454)","(1320,443)","(1352,312)","(547,54)",,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"(1578,1325)","(1287,1320)","(1330,1217)","(475,1102)","(1592,1064)","(1319,959)","(1519,940)","(1530,876)","(1535,839)","(238,805)","(1333,779)","(50,775)","(1415,669)","(599,560)","(385,548)","(755,452)","(1320,443)","(1352,313)","(553,51)",,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"(1578,1325)","(1290,1317)","(1330,1217)","(475,1103)","(1592,1064)","(1320,959)","(1519,940)","(1531,877)","(1536,839)","(238,805)","(1333,780)","(52,774)","(1416,669)","(599,560)","(385,548)","(755,449)","(1321,443)","(1352,313)","(551,54)",,"(601,50)",,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,"(781,445)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,"(733,445)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,"(589,546)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,"(590,546)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,"(586,547)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,"(588,547)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,"(590,548)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
