frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6
130,,(140!351),(76!200),(93!570),,,
131,,(143!349),(76!200),(96!564),,(548!458),
132,,(146!348),(76!200),(99!559),,,
133,,(149!347),(76!200),(103!553),,,
134,,(152!346),(76!200),(107!548),(544!654),,
135,,(155!344),(76!200),(111!542),,,
136,,(159!343),(76!200),(115!537),,(547!457),
137,,(163!342),(76!200),(119!532),,(549!460),
138,,(166!341),(76!199),(123!527),,,
139,(544!654),(168!341),(76!199),(128!523),,,
140,(545!653),(170!342),(76!199),(132!518),,,
141,(545!654),(173!342),(76!200),(137!514),,,
142,(545!654),(175!341),(76!200),(142!509),,(548!457),
143,(544!656),(180!341),(76!200),(148!505),,(548!458),
144,(544!654),(183!341),(76!200),(154!500),,(548!457),(545!474)
145,(545!654),(188!341),(76!200),(159!498),,(545!474),
