frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27,ID_28,ID_29,ID_30,ID_31,ID_32,ID_33,ID_34,ID_35,ID_36,ID_37,ID_38,ID_39,ID_40,ID_41,ID_43,ID_44,ID_45,ID_46,ID_47,ID_48,ID_50,ID_52,ID_53,ID_54,ID_57,ID_67,ID_68,ID_69,ID_70,ID_71,ID_72,ID_74,ID_75,ID_76,ID_77,ID_78,ID_80,ID_82,ID_83,ID_84,ID_85,ID_86,ID_88,ID_89,ID_90,ID_91,ID_92,ID_93,ID_94,ID_95,ID_98,ID_99,ID_100,ID_103,ID_104,ID_105,ID_106,ID_107,ID_108,ID_109,ID_110,ID_111,ID_112,ID_113,ID_114,ID_115,ID_116,ID_118,ID_119,ID_120,ID_121,ID_122,ID_123,ID_124,ID_125,ID_126,ID_127,ID_128,ID_129,ID_130,ID_131,ID_132,ID_133,ID_134,ID_135,ID_136,ID_137,ID_141
18,,,,"(2034,269)",,,,,,,,,"(1671,1065)",,,,,,,,,,,,,,,,,,,"(2179,301)",,,"(2211,1140)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,"(2040,274)","(2028,266)",,,,,,,,,"(1620,1060)",,,,,,,,,,,,,,,,,,"(1123,1225)","(2174,300)",,,"(2212,1140)","(2236,1169)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,"(2046,284)","(2036,272)",,,,,,,,,"(1618,1060)",,"(1076,1256)",,,,,,,,,,,,"(1674,1061)",,,,"(1124,1226)",,,"(2219,1152)","(2210,1139)","(2237,1165)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,"(2041,278)",,,,,,,,,"(1674,1061)",,"(1074,1256)",,,,,,,,,,,,,,,,"(1124,1224)",,,"(2218,1147)","(2208,1137)","(2236,1166)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,"(1075,1260)",,,,,,,,,"(1381,416)",,,,,,,"(1122,1225)",,,,"(2235,1162)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,"(1386,410)",,,,,,,"(1121,1226)",,,,"(2233,1165)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,"(1396,401)",,,,,,,,,,,,,,"(1386,410)",,,,,,,"(1123,1226)",,,,"(2234,1165)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,"(2049,298)",,"(2172,309)",,,"(1395,400)",,,,,"(1073,1263)",,,,,,,,,"(1386,408)",,,,,,,"(1120,1226)",,,,"(2234,1163)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,"(2304,980)",,,"(1072,1264)",,,,,,,,,"(1390,407)",,,,,,,"(1120,1228)",,,,"(2233,1161)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,"(2308,974)",,"(2295,989)","(1071,1263)",,,,,,,,,"(1393,405)",,,,,,,"(1120,1226)",,,,"(2236,1165)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,"(2309,971)",,,,,,,,,,,,"(1401,400)",,,,,,,"(1068,1265)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,"(1403,397)",,,,,,,"(1068,1267)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,"(2308,963)",,,,,,,,,,,,,,,,,"(1070,1268)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
