frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_13,ID_14
0,(435!68),(486!75),(462!104),(1267!138),(1324!183),(1360!293),(104!466),(949!762),(1353!849),(859!851),,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,(433!70),(484!77),(460!106),(1265!139),(1321!185),(1358!295),(101!467),(946!764),(1352!851),(857!852),,,,
6,(433!70),(484!78),(460!106),(1265!140),(1321!185),,(102!468),(947!764),(1352!851),(857!852),,,,
7,(433!70),(484!77),(461!106),(1265!140),(1321!185),(1359!295),(102!468),(947!764),(1353!851),(857!852),,,,
8,(433!70),(484!77),(460!106),(1265!140),(1320!185),(1359!295),(101!468),(947!764),(1352!851),(856!853),,,,
9,(434!69),(484!77),(461!105),(1265!139),(1321!184),(1359!294),(102!468),(947!764),(1352!851),(857!852),,,,
10,(434!68),(485!76),(461!105),(1266!140),(1321!183),(1359!294),(102!467),(948!763),(1354!850),(858!852),,,,
11,(434!69),(485!75),(462!104),(1266!140),(1321!183),(1360!294),(102!467),(948!763),(1353!850),(858!852),,,,
12,(435!68),(486!74),(462!103),(1266!140),(1322!182),(1360!293),(102!466),(948!762),(1354!850),(858!851),,,,
13,(436!67),(486!74),(462!103),(1267!139),(1322!182),(1360!292),(104!465),(949!761),(1355!849),(859!851),,,,
14,(436!67),(487!74),(464!103),(1268!139),(1323!182),(1361!292),(105!466),(950!762),(1355!849),(859!850),,,,
15,(436!67),(487!75),(463!103),(1267!140),(1323!181),(1361!293),(104!465),(950!762),(1354!849),(858!850),,,,
16,(436!67),(487!75),(463!103),(1267!140),(1323!181),(1361!293),(104!465),(950!762),(1354!849),(858!850),,,,
17,(436!68),(486!75),(463!103),(1267!140),(1322!182),(1361!293),(104!466),(949!761),(1354!849),(858!851),,,,
18,(436!68),(487!75),(463!104),(1267!141),(1322!182),(1361!294),(104!465),(949!762),(1355!850),(857!852),,,,
19,(436!68),(486!75),(463!103),(1266!141),(1322!182),(1361!293),(104!466),(949!763),(1354!850),(857!852),,,,
20,(435!68),(486!77),(462!105),(1266!143),(1321!183),(1360!294),(103!467),(949!764),(1354!851),(856!854),,,,
21,(435!71),(485!76),(462!105),(1266!142),(1320!183),,(103!468),(948!764),(1353!851),(855!855),,,,
22,(434!70),(484!77),(461!106),(1264!143),(1320!184),(1359!295),(102!468),(948!764),(1353!851),(854!855),,,,
23,(435!71),(484!77),(461!107),(1265!143),(1320!184),(1359!295),(102!469),(948!765),(1353!852),(855!856),,,,
24,(434!70),(484!77),(461!106),(1264!143),(1319!184),(1359!295),(102!467),(947!765),(1353!851),(854!855),,,,
25,(434!71),(484!77),(461!106),(1263!144),(1319!184),,(102!468),(947!764),(1353!851),(854!856),,,,
