frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14
0,(80!100),(1024!403),(53!432),(255!703),(51!723),(195!994),,,,,,,,,
2,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,
5,(79!99),(1022!402),,(256!700),(49!721),,,,,,,,,,
6,(79!100),(1022!403),,(256!700),(49!722),,(51!430),,,,,,,,
7,(78!99),(1022!402),,(258!699),(49!721),,,,,,,,,,
8,(79!99),(1022!402),,(260!700),(49!723),,,,,,,,,,
9,(78!99),(1022!402),,(260!699),(49!721),,(50!430),,,,,,,,
10,(79!99),(1022!402),,(261!699),(49!721),,(51!431),,,,,,,,
11,(79!100),(1022!402),,(263!699),(49!722),,(51!431),,,,,,,,
12,(80!100),(1023!403),,(265!699),(50!721),,(52!431),,,,,,,,
13,(80!100),(1023!403),,(266!699),,,,,,,,,,,
14,(80!100),(1024!403),,(268!700),(50!722),,,,,,,,,,
15,(81!100),(1024!403),,(270!700),(51!722),,(53!431),,,,,,,,
16,(81!100),(1024!403),,(271!699),(51!722),,(53!432),,,,,,,,
17,(81!100),(1025!403),,(273!699),,,(54!435),,,,,,,,
18,(81!100),(1024!403),,(273!699),,,(51!721),,,,,,,,
19,(81!100),(1024!403),,(274!699),,,(50!720),,,,,,,,
20,(81!100),(1024!403),,(274!699),,,(51!720),,,,,,,,
21,(80!100),(1024!402),,(275!699),,,(50!720),,,,,,,,
22,(80!100),(1023!402),,(275!698),,,(53!431),,,,,,,,
23,(80!100),(1023!402),,(277!697),(49!720),,(51!431),(252!54),,,,,,,
24,(79!100),(1022!403),,(277!697),(49!721),,(52!431),,,,,,,,
25,(79!99),(1022!402),,(279!697),(47!720),,(51!431),(251!54),,,,,,,
26,(79!99),(1022!402),,(280!696),(46!717),,(51!431),,,,,,,,
27,(251!54),(1022!402),,(281!696),,,(51!431),,,,,,,,
28,(79!100),(1022!402),,(283!695),,,(46!719),,,,,,,,
29,(78!99),(1022!402),,(286!695),,,(46!720),(251!54),,,,,,,
30,(79!100),(1023!402),,(287!695),,,(46!718),,,,,,,,
31,(80!100),(1023!403),(51!431),(289!696),,,,,,,,,,,
32,(80!100),(1023!403),(52!431),(292!695),,,(48!720),(252!55),,,,,,,
33,(80!100),(1024!403),(52!432),(294!695),,,(50!721),(252!54),,,,,,,
34,(81!101),(1024!403),(52!432),(296!695),,,,,,,,,,,
35,(81!100),(1024!403),(53!431),(298!694),,,(51!721),,,,,,,,
36,(251!55),(1024!403),,(301!693),,,(51!721),,,,,,,,
37,(81!100),(1024!403),,(302!693),,,(51!721),,,,,,,,
