frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_12,ID_13,ID_14
443,(435!52),(293!189),(1339!549),(372!756),(693!1016),,,(767!1025),,,,,,
444,(436!53),(293!190),(1340!551),(372!756),(693!1016),,,(768!1025),,,,,,
445,(437!52),(293!189),(1340!550),(372!757),(693!1015),,,(767!1024),,,,,,
446,(437!53),(293!190),(1340!551),(372!756),(694!1016),,,(768!1025),,,,,,
447,(438!52),(293!189),(1341!551),(372!755),(693!1015),,,(767!1024),,,,,,
448,(440!53),(293!190),(1342!550),(372!757),(693!1016),,,(767!1025),,,,,,
449,,(292!190),,(372!757),(693!1015),,,(767!1025),,,,,,
450,(21!11),(293!190),,(373!756),(694!1016),,,(768!1025),,,,,,
451,(293!189),(443!54),,(372!756),(693!1015),,,(768!1025),,,,,,
452,(293!190),(444!55),,(372!756),(693!1015),,,(767!1024),,,,,,
453,(293!189),(445!53),,(372!756),(693!1015),,,(767!1024),,,,,,
454,(293!190),(446!55),,(372!757),(693!1016),,,(767!1025),,,,,,
455,(292!189),(447!54),,(372!756),(693!1015),,,(767!1024),,,,,,
456,(293!189),(449!54),,(372!757),(693!1015),,,(767!1025),,,,,,
457,(293!189),(450!53),,(372!757),(693!1015),,,(767!1024),,,,,,
458,(293!190),(450!53),,(372!757),(693!1015),,,(767!1024),,,,,,
459,(292!189),(450!52),,(372!756),(693!1015),,,(767!1024),,,,,,
460,(293!190),(452!53),,(372!755),(693!1015),,,(767!1024),,,,,,
461,(293!189),(453!53),,(372!755),(693!1015),,,(767!1024),,,,,,
462,(293!189),(454!54),,(372!756),(693!1015),,,(767!1024),,,,,,
463,(293!189),(454!54),,(372!757),(693!1015),,,(767!1024),,,,,,
464,(293!190),(455!54),,(372!757),(693!1015),,,(767!1024),,,,,,
465,(293!189),(456!53),,(372!756),(693!1015),,,(767!1024),,,,,,
466,(293!190),(457!54),,(372!757),(693!1015),,,(767!1024),,,,,,
467,(293!189),(458!54),,(372!757),(693!1015),,,(767!1024),,,,,,
468,(293!189),(458!54),,(372!756),(693!1015),,,(767!1024),,,,,,
469,(293!189),(459!54),,(372!756),(693!1015),,,(767!1024),,,,,,
470,(293!189),(459!53),,(372!756),(693!1015),,,(767!1024),,,,,,
471,(293!189),(459!53),,(372!757),(693!1014),,,(767!1024),,,,,,
472,(293!189),,,(372!756),(693!1015),,,(767!1024),,,,,,
473,(293!189),(19!10),,(372!757),(693!1015),,,(767!1024),,,,,,
474,(293!189),(19!10),,(372!756),(693!1015),,,(767!1024),,,,,,
475,(461!53),(293!189),,(372!756),(693!1014),,,(767!1024),,,,,,
476,(461!53),(293!189),,(372!756),(693!1015),,,(767!1024),,,,,,
477,(462!53),(292!190),,(372!758),(693!1015),,,(767!1024),,,,,,
478,(463!53),(293!189),,(372!757),(692!1015),,,(766!1024),,,,,,
479,(464!52),(292!190),,(372!757),(693!1015),,,(767!1023),,,,,,
480,(464!53),(293!189),,(372!757),(693!1015),,,(767!1024),,,,,,
481,(464!52),(292!189),,(372!757),(693!1015),,,(767!1024),,,,,,
482,(467!54),(293!190),,(372!757),(693!1015),,,(767!1023),,,,,,
483,(467!53),(293!189),(950!1045),(372!757),(693!1015),,,(767!1024),,,,,,
484,(469!54),(293!189),(693!1015),(372!757),(473!1028),,,(767!1023),,,,,,
485,(470!53),(293!190),(473!1029),(372!756),(65!962),,,(767!1024),,,,,,
486,(471!53),(293!190),(473!1028),(372!756),(65!962),,,(767!1023),,,,,,
487,(472!54),(293!190),(473!1029),(372!756),(65!962),,,(767!1024),,,,,,
488,(473!54),(292!189),(472!1028),(371!756),(65!963),,,(767!1023),,,,,,
489,(475!54),(293!190),(473!1029),(372!756),(65!962),,,(767!1024),,,,,,
490,(475!53),(293!190),(473!1029),(372!756),(65!962),,,(767!1024),,,,,,
491,(478!54),(293!190),(473!1029),(372!756),(65!962),,,(767!1024),,,,,,
492,(478!54),(292!190),(473!1029),(372!756),(65!962),,,(767!1024),,,,,,
493,(480!54),(293!189),(473!1029),(372!757),(64!962),,,(767!1024),,,,,,
494,(481!54),(293!189),(472!1028),(372!756),(64!962),,,(767!1023),,,,,,
495,(481!54),(293!190),(473!1028),(372!756),(64!962),,,(767!1024),,,,,,
496,(482!54),(292!189),(473!1028),(372!757),(65!963),,,(767!1023),,,,,,
497,(483!54),(292!189),(473!1028),(372!755),(563!840),,,(767!1023),,,,,,
498,(484!54),(292!190),(473!1028),(372!757),(693!1015),,,(767!1024),,,,,,
499,(484!53),(293!189),(473!1028),(372!757),(693!1015),,,(767!1024),,,,,,
500,(485!54),(293!189),(473!1028),(372!757),(693!1015),,,(767!1024),,,,,,
501,(485!53),(293!189),(473!1028),(372!756),(693!1015),,,(767!1024),,,,,,
502,(486!53),(293!189),(473!1028),(372!756),(693!1015),,,(767!1024),,,,,,
503,(488!54),(293!190),(473!1028),(372!756),(693!1015),,,(768!1023),,,,,,
504,(489!54),(293!190),(473!1028),(371!757),(693!1015),,,(767!1023),,,,,,
505,(491!52),(293!189),(473!1029),(371!757),(693!1015),,,(767!1024),,,,,,
506,(494!53),(293!190),(473!1028),(371!756),(693!1015),,,(767!1023),,,,,,
507,(496!53),(292!189),(473!1029),(371!756),(693!1015),,,(767!1023),,,,,,
508,(496!53),(292!189),(473!1029),(371!756),(693!1015),,,(767!1023),,,,,,
509,(497!53),(293!189),(473!1028),(371!756),(693!1015),,,(767!1024),,,,,,
510,(498!53),(293!189),(473!1028),(371!756),(693!1015),,,(767!1024),,,,,,
511,(499!53),(293!189),(473!1028),(371!757),(693!1015),,,(767!1024),,,,,,
512,(499!54),(293!190),(473!1028),(371!756),(693!1015),,,(767!1024),,,,,,
513,(501!55),(293!189),(473!1028),(371!757),(693!1015),,,(767!1024),,,,,,
514,(503!54),(293!189),(473!1028),(371!757),(693!1015),,,(767!1024),,,,,,
515,(503!54),(293!190),(473!1029),(371!756),(693!1015),,,(767!1024),,,,,,
516,(503!54),(293!189),(472!1028),(371!757),(693!1015),,,(767!1024),,,,,,
517,(502!54),(293!189),(473!1028),(371!757),(693!1015),,,(767!1024),,,,,,
518,(505!55),(293!189),(473!1028),(371!757),(693!1015),,,(767!1024),,,,,,
519,(506!55),(293!190),(473!1028),(372!757),(693!1015),,,(767!1024),,,,,,
520,(507!54),(293!189),(473!1028),(372!756),(693!1015),,,(768!1024),,,,,,
521,(508!54),(293!190),(473!1028),(372!757),(693!1015),,,(768!1024),,,,,,
522,(508!55),(293!190),(473!1028),(372!756),(693!1015),,,(768!1024),,,,,,
523,(509!54),(293!190),(473!1028),(372!757),(693!1015),,,(768!1024),,,,,,
524,(510!54),(293!189),(472!1028),(371!757),(693!1015),,,(768!1024),,,,,,
525,(511!54),(293!190),(473!1028),(372!758),(693!1015),,,(768!1024),,,,,,
526,(511!54),(292!189),(472!1028),(372!756),(693!1015),,,(768!1024),,,,,,
527,,(293!190),(472!1028),(371!757),(693!1015),,,(768!1024),,,,,,
528,,(293!190),(472!1028),(371!757),(693!1015),,,(767!1024),,,,,,
529,,(293!190),(591!847),(372!757),(693!1015),,,(767!1024),,,,,,
530,,(293!190),(592!847),(371!757),(693!1015),,,(767!1024),,,,,,
531,,(292!190),(593!847),(372!756),(693!1015),,,(767!1024),,,,,,
532,,(293!190),(595!846),(371!756),(693!1015),,,(767!1024),,,,,,
533,,(293!190),(595!847),(372!756),(693!1015),,,(767!1024),,,,,,
534,,(293!190),(597!847),(372!757),(693!1015),,,(768!1024),,,,,,
535,,(294!190),(597!847),(372!757),(693!1015),,,(767!1024),,,,,,
536,,(293!189),(599!847),(372!757),(693!1015),,,(768!1024),,,,,,
537,,(292!190),(600!848),(372!756),(693!1015),,,(768!1024),,,,,,
538,(522!54),(293!190),(601!848),(372!757),(693!1015),,,(768!1024),,,,,,
539,(524!53),(293!190),(602!849),(372!757),(693!1015),,,(768!1024),,,,,,
540,(524!52),(293!189),(603!848),(372!756),(693!1015),,,(768!1024),,,,,,
541,,(293!190),(605!848),(372!757),(693!1015),,,(768!1024),,,,,,
542,(526!52),(293!189),(606!848),(372!757),(693!1015),,,(768!1024),,,,,,
543,(526!52),(293!189),(608!848),(372!757),(693!1015),,,(768!1024),,,,,,
544,(527!53),(293!190),(610!850),(372!758),(693!1016),,,(768!1025),,,,,,
545,(528!53),(293!190),(610!848),(372!757),(693!1015),,,(768!1024),,,,,,
546,(528!53),(293!189),(612!848),(372!758),(693!1015),,,(768!1024),,,,,,
547,(529!54),(293!190),(613!848),(372!756),(693!1015),,,(768!1024),,,,,,
548,(529!54),(293!190),(615!850),(372!758),(693!1015),,,(768!1024),,,,,,
549,(529!53),(292!189),(617!850),(372!757),(693!1015),,,(768!1024),,,,,,
550,(529!54),(292!190),(619!850),(372!757),(693!1016),,,(768!1025),,,,,,
551,(529!53),(293!190),(620!850),(372!758),(693!1015),,,(767!1024),,,,,,
552,(530!54),(293!190),(621!850),(371!757),(693!1016),,,(767!1025),,,,,,
553,(530!54),(293!190),(622!850),(372!757),(693!1015),,,(768!1024),,,,,,
554,(530!54),(293!190),(623!850),(372!758),(693!1016),,,(768!1024),,,,,,
555,(530!54),(293!190),(624!850),(372!758),(693!1015),,,(767!1024),,,,,,
556,(531!54),(293!190),(624!850),(372!758),(693!1015),,,(767!1024),,,,,,
557,(532!54),(293!190),(627!850),(372!758),(693!1015),,,(768!1024),,,,,,
558,(532!53),(293!190),(628!851),(372!758),(693!1015),,,(768!1024),,,,,,
559,(534!53),(293!190),(628!851),(372!756),(693!1015),,,(768!1024),,,,,,
560,(534!53),(293!190),(630!851),(372!756),(693!1015),,,(768!1024),,,,,,
561,(535!53),(293!190),(632!851),(372!757),(693!1015),,,(768!1024),,,,,,
562,(535!53),(293!190),(633!851),(372!757),(693!1015),,,(767!1024),,,,,,
563,(535!53),(293!190),(634!850),(372!757),(693!1015),,,(768!1024),,,,,,
564,(536!53),(293!190),(635!851),(372!757),(693!1015),,,(768!1024),,,,,,
565,,(293!190),(637!851),(372!756),(693!1015),,,(767!1024),,,,,,
566,(538!52),(293!190),(639!850),(372!756),(693!1015),,,(767!1024),,,,,,
567,,(293!190),(641!850),(372!757),(693!1015),,,(768!1024),,,,,,
568,,(293!190),(642!851),(372!757),(693!1016),,,(768!1025),,,,,,
569,,(293!190),(643!851),(372!756),(693!1015),,,(768!1024),,,,,,
570,,(293!189),(644!852),(372!756),(693!1015),,,(767!1024),,,,,,
571,(544!51),(293!190),(645!852),(372!757),(693!1015),,,(768!1024),,,,,,
572,,(293!190),(647!852),(372!757),(693!1015),,,(768!1024),,,,,,
573,(546!52),(293!189),(649!853),(372!757),(693!1015),,,(768!1024),,,,,,
574,(548!53),(293!189),(650!854),(372!757),(693!1015),,,(768!1024),,,,,,
575,(550!53),(293!189),(652!854),(372!757),(694!1015),,,(768!1024),,,,,,
576,(551!53),(293!190),(652!853),(372!757),(693!1015),,,(768!1024),,,,,,
577,(551!54),(293!190),(653!853),(372!757),(693!1015),,,(768!1024),,,,,,
578,(553!54),(293!190),(655!853),(372!757),(693!1015),,,(768!1024),,,,,,
579,(555!53),(294!190),(656!853),(372!757),(693!1015),,,(768!1024),,,,,,
580,(554!54),(293!190),(658!853),(372!757),(693!1015),,,(768!1024),,,,,,
581,(556!53),(293!190),(659!853),(373!757),(693!1015),,,(768!1024),,,,,,
582,(556!53),(293!190),(661!853),(372!757),(693!1015),,,(768!1024),,,,,,
583,(557!53),(293!190),(662!853),(372!757),(693!1015),,,(768!1024),,,,,,
584,(559!51),(293!190),(664!853),(372!756),(693!1015),,,(768!1024),,,,,,
585,(562!53),(293!190),(665!853),(372!757),(693!1015),,,(768!1024),,,,,,
