frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_10,ID_11,ID_12,ID_13,ID_14
0,(1033!57),(667!66),(1198!94),(394!125),(837!202),(1123!278),(830!1013),,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,(1033!57),,,(394!124),(837!202),(1198!94),(830!1014),,,,,,,
6,(1033!58),,,(393!125),(837!202),(1197!94),(831!1015),(1123!277),,,,,,
7,(1034!58),,,(393!125),(837!203),(1198!95),(831!1015),(1124!278),,,,,,
8,(1034!58),,,(393!125),(838!203),(1198!94),(831!1015),(1125!278),,,,,,
9,(1034!58),,,(394!125),(837!203),(1198!95),(831!1015),(1124!278),(1353!992),,,,,
10,,,,(394!125),(838!203),(1199!95),(831!1015),(1125!278),(1353!992),,,,,
11,,,,(394!126),(838!203),(1198!95),(832!1016),(1125!279),(1353!992),,,,,
12,(1033!58),,,(394!125),(837!203),(1198!95),(832!1016),(1124!279),(1354!992),,,,,
13,,,,(395!126),(837!203),(1199!95),(832!1016),(1125!279),(1353!992),,,,,
14,(1034!58),,,(395!126),(837!203),(1198!95),(832!1016),(1125!279),(1353!992),,,,,
15,(1034!58),,,(396!126),(837!202),(1198!95),(832!1017),(1125!279),(1352!992),,,,,
16,(1034!58),(668!67),,(396!126),(838!203),(1198!94),(832!1016),(1125!279),(1353!992),,,,,
17,,,,(396!126),(837!203),(1198!94),(831!1015),(1125!279),(1352!993),,,,,
18,(1034!57),,,(396!126),(837!202),(1198!94),(831!1016),(1125!279),(1353!993),,,,,
19,(1034!57),,,(397!126),(837!202),(1198!93),(832!1015),(1125!279),(1352!993),,,,,
20,(1033!57),,,(396!126),(837!202),(1197!93),(831!1015),(1125!279),(1352!993),,,,,
21,(1033!57),,,(397!127),(837!202),(1197!94),(831!1016),(1125!279),(1352!994),,,,,
22,(1033!57),,,(396!126),(837!202),(1198!94),(831!1015),(1125!279),(1352!994),,,,,
23,(1033!57),,,(396!126),(836!202),(1197!94),(831!1016),(1125!279),(1352!994),,,,,
24,(1033!56),,,(397!126),(837!202),(1197!94),(831!1016),(1126!280),(1353!995),,,,,
25,(1034!58),,,(396!126),(836!203),(1197!94),(831!1016),(1126!280),(1353!995),,,,,
26,,,,(396!126),(667!66),(1197!95),(831!1016),(1126!280),(1353!995),,,,,
27,(1034!58),,,(397!126),(669!63),(1197!95),(831!1016),(1126!280),(1353!996),,,,,
28,(1034!58),,,(398!126),,(1198!94),(832!1017),(1126!281),(1353!996),,,,,
29,(1034!58),(668!66),,(399!125),,(1198!94),(832!1016),(1127!281),(1353!996),,,,,
30,(1034!58),(668!67),,(399!125),,(1198!94),(832!1016),(1127!281),(1353!996),,,(838!203),,
31,(1034!59),(668!67),,(400!124),,(1198!95),(832!1016),(1127!281),(1354!996),,,(838!203),,
32,(1035!59),(668!67),,(401!122),,(1198!95),(832!1016),(1126!281),(1353!997),,,(837!203),,
33,,(668!66),,(402!121),,(1198!94),(832!1016),(1126!280),(1353!997),,,(837!203),,
34,(1035!59),(668!66),,(402!121),,(1198!94),(832!1016),(1126!280),(1353!997),,,(837!203),,
35,,(668!66),,(402!120),,(1198!94),(832!1016),(1126!280),(1353!997),,,(837!202),,
36,(1034!59),(668!66),,(402!120),,(1198!94),(832!1016),(1126!280),(1353!998),,,(837!203),,
37,,(668!66),,(402!120),,(1198!94),(832!1016),(1125!280),(1353!998),,,(836!203),,
38,,(668!66),,(403!120),,(1198!93),(832!1017),(1126!280),(1352!999),,,(837!202),,
39,,(668!65),,(403!120),,(1198!93),(832!1017),(1126!280),(1353!1000),,,(837!203),,
40,(1034!59),(668!66),,(403!120),,(1197!93),(832!1017),(1126!279),(1352!1000),,,(837!203),,
41,(1034!58),(668!66),,(404!120),,(1198!93),(832!1016),(1126!279),(1352!1000),,,(837!203),,
42,(1034!59),(668!66),,(404!120),,(1197!94),(832!1017),(1126!280),(1352!1001),,,(837!204),,
43,,(668!66),,(404!120),,(1355!131),(832!1017),(1126!280),(1352!1001),,,(837!203),,
44,,(668!66),,(404!120),,(1034!58),(832!1017),(1126!280),(1352!1001),,,(837!204),,
45,,(668!66),(1197!94),(406!120),,,(832!1017),(1127!280),(1352!1002),,,(837!204),,
46,(1034!59),(668!67),(1197!94),(406!120),,,(832!1017),(1127!281),(1352!1002),,,(837!204),,
47,(1034!59),(668!67),(1197!94),(407!120),,,(832!1018),(1128!281),(1352!1002),,,(837!204),,
48,(1034!58),(668!67),(1197!93),(408!119),,,(833!1017),(1128!281),(1352!1002),,,(837!204),,
49,(1035!59),(668!67),(1198!94),(409!119),,,(832!1017),(1128!281),(1352!1002),,,(837!204),,
50,(1035!59),(668!67),(1198!93),(409!119),,,(832!1017),(1128!281),(1352!1002),,,(837!204),,
51,(1034!60),(669!67),(1197!93),(409!119),,,(832!1017),(1129!281),(1353!1001),,,(837!204),,
52,,(669!66),(1198!93),(409!119),,,(832!1017),(1129!281),(1352!1002),,(1355!133),(838!204),,
53,,(668!67),(1198!93),(409!119),,,(833!1016),(1130!282),(1353!1001),,,(837!204),,
54,(1035!59),(668!66),(1197!93),(409!118),,,(832!1017),(1131!281),(1353!1001),,(1355!133),(837!204),,
55,(1035!59),(668!67),(1197!93),(409!118),,,(832!1017),(1131!282),(1353!1002),,,(837!203),,
56,(1034!58),(668!66),(1197!92),(409!118),,,(831!1016),(1131!281),(1352!1002),,,(837!203),,
57,(1034!58),(668!66),(1197!92),(409!118),,,(832!1016),(1131!281),(1352!1002),,,(836!203),,
58,(1034!59),(668!67),(1197!93),(409!118),,,(832!1017),(1131!282),(1352!1003),,,(837!204),,
59,(1034!59),(668!66),(1197!93),(409!118),,,(832!1017),(1132!281),(1352!1003),,(1355!132),(837!203),,
60,(1034!59),(668!67),(1197!93),(409!118),,,(832!1017),(1133!282),(1352!1002),,(1354!131),(836!204),,
61,(1034!59),(667!67),(1197!93),(409!118),,,(832!1017),(1133!282),(1352!1003),,,(836!204),,
62,(1034!59),(667!67),(1197!93),(410!119),,,(831!1017),(1133!283),(1352!1004),,(1354!131),(836!204),,
63,(1034!59),(668!67),(1197!93),(411!119),,,(832!1017),(1134!283),(1352!1004),,(1355!133),(837!204),,
64,(1034!59),(668!67),(1197!94),(410!119),,,(832!1017),(1134!283),(1352!1005),,(1355!133),(837!204),,
65,(1034!59),(668!67),(1197!93),(410!119),,,(832!1018),(1134!283),(1352!1005),,,(836!204),,
66,(1034!60),(668!67),(1198!93),(411!119),,,(832!1018),(1134!283),(1352!1005),,,(837!204),,
67,(1034!59),(668!67),(1197!94),(411!120),,,(832!1018),(1135!283),(1352!1005),,,(837!204),,
68,,(668!67),(1198!94),(412!119),,,(832!1018),(1135!284),(1352!1005),,,(837!204),,
69,(1035!59),(669!67),(1198!93),(412!118),,,(833!1018),(1136!284),(1353!1005),,,(837!204),,
70,(1035!59),(669!66),(1198!93),(412!118),,,(833!1018),(1137!285),(1352!1005),,(1355!132),(837!203),,
71,(1035!59),(669!67),(1198!93),(412!118),,,(833!1019),(1138!285),(1352!1005),,(1355!133),(837!204),,
72,(1035!59),(669!67),(1198!93),(412!118),,,(833!1019),(1138!286),(1352!1005),,,(837!204),,
73,(1035!59),(669!67),(1198!93),(412!118),,,(833!1019),(1138!286),(1353!1005),,,(837!204),,
74,(990!41),(668!67),(1198!93),(411!118),,,(833!1019),(1138!286),(1352!1005),,(1355!133),(837!203),,
75,(1034!59),(668!67),(1198!93),(412!119),,,(833!1019),(1138!287),(1352!1005),,(1355!132),(837!203),,
76,(1034!59),(668!67),(1198!93),(412!119),,,(833!1019),(1138!286),(1352!1005),,(1355!132),(837!204),,
77,(1034!59),(668!67),(1198!93),(412!119),,,(833!1019),(1138!286),(1352!1006),,,(837!204),,
78,(1034!59),(668!66),(1198!93),(411!118),,,(833!1019),(1139!286),(1352!1006),,(1355!133),(837!203),,
