frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13
412,(696!83),(151!199),(706!252),,,,(829!863),(1213!998),(65!819),,,(61!497),(60!783),
413,(696!83),(151!199),(706!252),,,,(829!863),(1213!998),(64!819),,,,(60!783),(640!998)
414,(696!83),(151!199),(706!251),,,,(829!863),(1213!998),(63!818),,,(61!497),(60!783),(639!998)
415,(696!83),(151!199),(706!251),,,,(829!863),(1213!998),(63!819),,,(63!497),(60!783),
416,(696!83),(151!199),(706!251),,,,(828!864),(1214!998),(63!819),,,(61!497),(60!784),(640!998)
417,(696!84),(151!199),(706!251),,,,(828!863),(1214!999),(63!818),,,,(60!784),
418,(696!84),(151!199),(706!251),,,,(829!863),(1215!1000),(63!818),,,,(60!783),(639!998)
419,(696!83),(151!199),(706!250),,,,(829!863),(1215!1000),(63!819),,,,(60!784),(640!998)
420,(698!83),(151!199),(706!250),,,,(830!862),(1215!1000),(64!819),,,,(59!784),(640!998)
421,(696!83),(151!199),(705!251),,,,(830!862),(1215!1000),(64!818),,,(61!497),(60!784),
422,(698!83),(151!199),(705!250),,,,(830!862),(1215!999),(63!818),,,(61!498),(59!784),(639!998)
423,(696!83),(151!199),(705!250),,,,(830!862),(1215!999),(64!818),,,(61!498),(60!784),(639!998)
424,(696!83),(151!199),(706!251),,,,(830!861),(1216!1000),(64!818),,,(61!498),(59!783),(640!998)
425,(696!84),(151!200),(705!251),,,,(830!861),(1216!1000),(63!818),,,(61!497),(60!783),(639!998)
426,(696!83),(151!199),(706!251),,,,(830!861),(1216!1000),(64!818),,,(61!497),,(640!998)
427,(696!83),(151!199),(706!251),,,,(830!862),(1216!1000),(64!818),,,,,(640!998)
428,(696!84),(151!200),(705!251),,,,(830!862),(1216!1000),(64!818),,,(61!498),(37!609),(640!998)
429,(696!83),(151!199),(705!249),,,,(830!861),(1215!1000),(63!818),,,,(57!783),
430,(696!83),(151!199),(706!249),,,,(830!862),(1216!1000),(64!818),,,(61!497),(58!783),(640!998)
431,(696!83),(151!199),(706!248),,,,(830!862),(1217!1000),(64!817),,,,,(640!998)
432,(696!83),(151!200),(705!248),,,,(830!862),(1217!1001),(64!818),,,(62!497),,(640!998)
433,(696!84),(151!200),(705!248),,,,(831!862),(1217!1001),(64!817),,,(61!496),(59!783),(640!998)
434,(696!83),(151!199),(705!248),,,,(831!861),(1217!1001),(64!818),,,(61!497),(58!783),(639!1002)
435,(695!83),(151!200),(704!248),,,,(831!861),(1217!1002),(64!817),,,(41!621),(58!783),(638!1002)
436,(696!83),(151!200),(704!248),,,,(831!861),(1219!1003),(64!818),,,(41!621),(61!495),(639!1001)
437,(695!83),(151!200),(704!248),,,,(831!861),(1219!1003),(63!817),,,(60!783),(61!494),(639!1001)
438,(696!83),(151!200),(704!248),,,,(831!861),(1219!1003),(63!817),,,(58!783),(61!497),(638!1001)
