frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14
72,(1297!76),(121!73),(349!666),(1147!809),(125!997),(145!1027),,,,,,,,,
73,(1298!76),(121!73),(349!666),(1147!808),(125!996),(144!1027),(872!47),,,,,,,,
74,(1297!76),(121!73),(349!666),(1147!808),(125!996),(144!1027),,,,,,,,,
75,(1297!75),(121!73),(349!666),(1146!808),(125!996),(143!1027),,,,,,,,,
76,(1297!75),(121!73),(349!666),(1147!808),(124!996),,,,,,,,,,
77,(1297!75),(121!72),(348!666),(1146!808),(125!996),,,,,,,,,,
78,(1297!75),(121!72),(349!665),(1146!807),(124!996),,,,,,,,,,
79,(1297!75),(121!73),(348!665),(1146!807),(124!995),,(869!46),,,,,,,,
80,(1297!75),(121!72),(348!666),(1146!807),(124!995),(142!1026),,,,,,,,,
81,(1296!74),(121!72),(348!665),(1146!807),(124!995),,,,,,,,,,
82,(1297!74),(121!72),(348!665),(1146!807),(124!995),,,,,,,,,,
83,(1296!75),(121!72),(348!665),(1146!807),(124!996),,,,,,,,,,
84,(1296!74),(121!72),(348!665),(1146!807),(124!996),,,,,,,,,,
85,(1297!75),(121!72),(348!666),(1146!808),(124!996),,,,,,,,,,
86,(1297!75),(121!72),(348!666),(1146!808),(124!996),,,,,,,,,,
87,(1297!75),(121!73),(348!666),(1146!808),(124!996),,,,,,,,,,
88,(1298!75),(121!73),(349!666),(1146!808),(124!996),,,,,,,,,,
89,(1297!75),(121!73),(349!666),(1146!808),(124!996),,,,,,,,,,
90,(1297!75),(121!73),(349!666),(1146!808),(124!996),,,,,,,,,,
91,(1297!75),(122!73),(349!666),(1146!808),(124!997),,,,,,,,,,
92,(1297!75),(121!73),(348!666),(1146!808),(124!996),,,,,,,,,,
93,(1297!75),(121!73),(349!666),(1147!808),(125!996),,(871!46),,,,,,,,
94,(1297!75),(121!72),(349!666),(1146!808),(124!996),,,,,,,,,,
95,(1297!75),(121!73),(349!666),(1147!808),(125!996),,,,,,,,,,
96,(1297!75),(121!72),(349!666),(1146!808),(125!996),,,,,,,,,,
97,(1297!74),(121!71),(349!665),(1147!807),(124!995),,,,,,,,,,
98,(1297!74),(121!72),(348!665),(1146!808),(124!996),,,,,,,,,,
99,(1296!74),(121!72),(348!665),(1146!808),(124!996),,,,,,,,,,
100,(1296!74),(121!72),(348!665),(1146!807),(124!995),,,,,,,,,,
101,(1297!74),(121!72),(348!665),(1146!807),(124!996),,,,,,,,,,
102,(1297!74),(121!71),(348!665),(1146!808),(124!996),,,,,,,,,,
103,(1297!75),(121!73),(348!666),(1146!808),(124!996),,,,,,,,,,
104,(1297!75),(121!73),(348!666),(1146!808),(124!996),,(872!46),,,,,,,,
105,(1297!75),(121!73),(348!666),(1146!808),(124!996),,,,,,,,,,
106,(1297!75),(121!73),(349!666),(1147!808),(124!996),,,,,,,,,,
107,(1297!75),(121!73),(349!666),(1147!809),(125!996),,,(47!642),,,,,,,
108,(1298!75),(121!73),(349!666),(1147!809),(125!996),,,,,,,,,,
109,(1298!75),(121!73),(349!666),(1147!809),(125!996),,,,,,,,,,
110,(1298!75),(121!73),(349!666),(1147!809),(125!996),,,,,,,,,,
111,(1298!75),(121!73),(349!666),(1147!809),(125!996),,,,,,,,,,
112,(1298!75),(122!73),(350!666),(1147!808),(125!996),,,,,,,,,,
113,(1297!75),(121!73),(349!666),(1147!808),(125!996),,,,,,,,,,
114,(1298!75),(122!73),(349!665),(1147!808),(124!996),,,,,,,,,,
115,(1298!75),(122!73),(349!665),(1147!808),(125!996),,,,,,,,,,
116,(1298!74),(121!72),(349!665),(1147!808),(124!996),,,,,,,,,,
117,(1297!74),(121!72),(349!665),(1147!808),(124!995),,,,,,,,,,
118,(1297!75),(121!72),(349!665),(1146!808),(124!995),,,,,,,,,,
119,(1297!74),(121!72),(348!665),(1146!808),(124!995),,,,,,,,,,
120,(1297!75),(121!72),(349!665),(1146!808),(125!996),,(869!46),,,,,,,,
121,(1297!75),(121!72),(348!665),(1146!808),(125!996),,(869!46),,,,,,,,
122,(1297!75),(121!73),(349!665),(1147!808),(125!996),,(870!46),,,,,,,,
123,(1297!76),(121!73),(348!665),(1146!809),(124!996),,,,,,,,,,
124,(1297!76),(121!73),(349!666),(1146!808),(125!996),,,,,,,,,,
125,(1297!76),(121!73),(349!666),(1147!809),(125!996),,,,,,,,,,
126,(1298!75),(121!73),(349!666),(1146!809),(125!996),,,,,,,,,,
127,(1298!75),(121!73),(349!666),(1147!809),(125!996),,,,,,,,,,
128,(1298!76),(121!73),(349!666),(1147!809),(126!996),,,,,,,,,,
129,(1298!76),(121!73),(349!666),(1147!809),(126!996),,(869!46),,,,,,,,
130,(1298!75),(121!73),(350!666),(1147!809),(126!996),,(874!50),,,,,,,,
131,(1298!76),(121!73),(350!666),(1147!808),(126!996),,,,,,,,,,
132,(1298!75),(122!73),(349!667),(1147!808),(126!996),,(871!46),,,,,,,,
133,(1298!75),(122!72),(350!665),(1147!808),(125!996),,(871!46),,,,,,,,
134,(1298!75),(122!72),(350!666),(1147!808),(126!996),,(872!46),,,,,,,,
135,(1298!75),(122!72),(350!665),(1147!808),(125!996),,(870!46),,,,,,,,
136,(1297!74),(121!72),(349!665),(1147!807),(125!996),,,,,,,,,,
137,(1297!74),(121!72),(349!665),(1147!808),(125!996),,,,,,,,,,
138,(1296!75),(121!72),(349!665),(1147!808),(124!996),,,,,,,,,,
139,(1297!75),(121!73),(349!666),(1146!809),(124!996),,(869!46),,,,,,,,
140,(1297!75),(121!72),(348!665),(1146!808),(124!996),,(869!46),,,,,,,,
141,(1297!75),(121!72),(349!665),(1146!808),(125!996),,(869!46),,,,,,,,
142,(1297!75),(121!73),(348!666),(1146!808),(125!996),,,,,,,,,,
143,(1297!76),(121!73),(348!666),(1147!808),(125!997),,,,,,,,,,
144,(1298!76),(121!73),(349!666),(1147!808),(125!996),,(869!47),,,,,,,,
145,(1297!76),(121!73),(349!666),(1148!807),(125!996),,(872!47),,,,,,,,
146,(1298!76),(121!73),(349!667),(1148!808),(125!996),,(870!47),,,,,,,,
147,(1298!76),(122!73),(349!667),(1147!807),(125!997),,(870!47),,,,,,,,
148,(1298!76),(122!73),(350!666),(1147!808),(126!996),,,,,,,,,,
149,(1298!76),(122!72),(350!666),(1146!808),(126!996),,,,,,,,,,
150,(1298!76),(122!72),(350!666),(1146!808),(126!996),,(869!46),,,,,,,,
151,(1298!76),(122!72),(350!666),(1145!808),(126!996),,(871!46),,,,,,,,
152,(1297!75),(122!72),(350!665),(1145!807),(126!995),,(870!46),,,,,,,,
153,(1297!75),(122!72),(349!665),(1145!807),(126!994),,(871!46),(52!638),,,,,,,
154,(1297!75),(122!72),(349!665),(1144!807),(126!994),,,,,,,,,,
155,(1297!75),(121!72),(349!665),(1143!807),(126!993),,,,,,,,,,
156,(1297!75),(122!72),(349!665),(1142!808),(126!993),,(868!46),,,,,,,,
157,(1297!75),(121!72),(349!665),(1142!808),(126!993),,(869!46),,,,,,,,
158,(1297!75),(121!73),(349!666),(1141!809),(126!993),,(869!46),,,,,,,,
159,(1297!76),(121!73),(349!666),(1141!809),(126!993),,(722!47),,,,,,,,
160,(1297!75),(122!73),(349!666),(1140!809),(126!992),,(869!46),,,,,,,,
161,(1297!76),(121!73),(349!666),(1139!810),(127!992),,,,,,,,,,
162,(1297!76),(121!73),(349!666),(1139!810),(127!991),,,,,,,,,,
163,(1297!76),(121!73),(349!666),(1138!810),(127!991),,,(47!581),,,,,,,
164,(1297!76),(121!73),(349!666),(1138!809),(127!990),,,,,,,,,,
165,(1297!76),(121!73),(349!666),(1138!809),(127!990),,,(35!622),,,,,,,
166,(1297!75),(121!73),(349!666),(1138!809),(128!990),,,,(722!47),,,,,,
167,(1298!76),(121!73),(349!666),(1137!809),(128!989),,,,(871!46),,,,,,
168,(1298!76),(122!73),(350!666),(1137!809),(129!988),,,,(871!46),,,,,,
169,(1298!75),(122!72),(350!666),(1137!808),(129!988),,,,(870!46),,,,,,
170,(1297!75),(121!72),(350!666),(1136!808),(130!988),,,,(873!46),,,,,,
171,(1297!75),(121!72),(349!665),(1135!808),(130!987),,,,(870!46),,,,,,
172,(1297!75),(121!72),(350!665),(1135!807),(130!987),,,(39!624),,,,,,,
173,(1297!75),(121!72),(349!665),(1134!807),(130!987),,,,,,,,,,
174,(1297!75),(121!72),(349!665),(1133!808),(130!986),,,,,,,,,,
175,(1296!75),(121!72),(349!665),(1130!809),(130!986),,,,,,,,,,
176,(1297!75),(121!72),(349!665),(1128!810),(130!985),,,,(869!46),,,,,,
177,(1297!76),(121!72),(349!666),(1127!810),(131!983),,,,,,,,,,
178,(1297!75),(121!72),(349!666),(1127!810),(131!983),,,,(868!46),,,,,,
179,(1297!75),(121!73),(349!666),(1126!810),(131!983),,,,,,,,,,
180,(1297!76),(121!73),(349!666),(1126!809),(131!982),,,,,,,,,,
181,(1297!75),(121!73),(349!666),(1125!810),(131!981),,,,,,,,,,
182,(1297!76),(121!73),(349!666),(1125!811),(132!981),,,,,,,,,,
183,(1297!76),(121!73),(349!666),(1125!810),(132!979),,,,(868!47),,,,,,
184,(1297!76),(121!73),(349!666),(1124!810),(132!979),,,,,,,,,,
185,(1297!75),(121!72),(349!666),(1123!811),(133!979),,,,(873!49),,,,,,
186,(1298!75),(121!72),(349!666),(1123!812),(133!979),,,,(870!46),,,,,,
187,(1297!76),(121!73),(349!665),(1123!812),(134!978),,,,(867!46),,,,,,
188,(1297!75),(121!72),(349!665),(1122!812),(134!978),,,,,,,,,,
189,(1297!75),(121!72),(349!665),(1122!812),(133!978),,,,,,,,,,
190,(1296!75),(121!72),(349!665),(1122!812),(134!976),,,,(869!46),,,,,,
