frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14
65,,,,(99!467),(1321!187),(1256!147),,,(1358!298),,(460!104),,(484!73),,
66,,,,,(1322!186),(1256!147),,,,(945!765),(434!68),,(484!72),(857!855),
67,,(1353!850),,(102!466),(1322!187),(1256!148),(460!103),,(1359!298),,(434!68),,(485!72),(858!855),
68,,(1353!849),,,(1323!186),(1256!148),(461!103),,(1360!297),,,,,(858!854),
69,,(1353!849),,(103!465),(1323!186),(1257!148),(462!103),,,(945!764),(435!67),,(485!73),(858!854),
70,,,,(102!465),(1323!185),(1257!148),(461!102),,,(945!765),,,(485!72),(858!854),
71,,(1353!849),,(102!465),(1323!186),(1257!148),(461!103),,,(945!765),(436!68),,(486!73),(858!854),
72,,(1353!849),,(103!466),(1323!186),(1257!149),(462!103),,,(945!766),(436!68),,,(858!854),
73,,(1353!850),,(100!466),(1323!186),(1257!149),(461!103),,,(945!766),(486!75),,,(858!855),
74,,(1353!850),,,(1323!187),(1257!150),(462!104),,,(945!767),(486!76),,,(858!855),
75,,(1355!853),,,(1323!187),(1257!151),(461!104),,,(945!767),(486!74),,(436!69),(858!856),
76,,(1353!852),,(103!468),(1323!188),(1257!151),(462!106),,,(945!768),(486!75),,(436!70),(858!857),
77,,(1354!852),,(104!468),(1324!189),(1257!153),(462!106),,(1362!302),(945!769),(486!75),,,(857!858),
78,,(1354!852),,(103!468),(1323!188),(1256!152),(461!106),,,(945!769),(486!76),,(437!70),(858!857),
79,,(1354!852),,(103!468),(1323!188),(1256!152),(461!105),,(1360!301),(945!768),(485!75),,,(857!857),
80,,(1353!851),,(102!468),(1322!188),(1255!153),(436!69),,(1359!301),(944!768),(485!75),,,(857!857),
81,,(1353!852),,,(1323!188),(1255!153),(436!69),,(1359!301),,(485!74),,(461!105),(857!857),
82,,(1352!851),,(102!467),(1322!187),(1255!153),(434!68),,(1359!300),(944!767),(484!74),,(460!104),(856!856),
83,,(1352!851),,(102!467),(1323!187),(1254!152),(436!68),,,(944!767),(485!73),,(460!104),(857!856),
84,,(1353!850),,(102!466),(1323!186),(1254!151),(435!68),,,(945!766),,,(460!103),(857!855),
85,,(1353!849),,(102!466),(1323!186),(1359!298),(436!67),,,(945!766),(485!73),,(460!103),(857!855),
86,,(1352!849),,(102!465),(1323!186),(1359!298),(436!67),,,(945!766),,,(461!103),(856!855),
87,,(1352!849),,,(1323!186),(1359!299),(436!67),,,,(485!74),,(461!102),(856!855),
88,,(1353!849),,(102!465),(1324!185),(1359!299),(436!67),,,(946!765),(485!74),,(461!102),(857!854),
89,,(1353!849),,(100!465),(1324!186),,(436!67),,,(946!766),,,(461!102),(857!855),
90,,(1353!849),,(102!466),(1324!186),,(436!68),,,(946!766),(485!73),,(460!103),(856!855),
91,,(1353!849),,(102!466),(1325!186),,(437!68),,,(946!766),(486!73),,(461!103),(857!855),
92,,(1354!851),,(103!467),(1326!188),,(437!69),,,,(486!74),,(462!105),(858!856),
93,,(1353!851),,(103!467),(1326!188),,(436!69),,,(947!768),(486!74),,(461!105),(857!857),(1360!300)
94,,(1353!852),,(104!468),(1326!191),,(437!70),,,(947!769),(487!75),,(462!106),(857!858),(1362!301)
95,,(1354!852),,(104!468),(1326!190),,(437!70),,,(948!769),(487!75),,(462!105),(857!857),(1362!300)
96,,(1354!852),,(104!468),(1326!193),,(437!70),,(1254!160),(949!769),(487!75),,(462!106),(857!858),(1362!301)
97,,(1354!852),,(104!468),(1326!191),,(437!69),,(1253!160),,(486!75),,(462!105),(857!858),(1362!301)
98,,(1354!852),,(103!468),(1325!191),,(437!69),,(1252!160),(948!768),(486!74),,(462!105),(856!857),(1360!301)
99,,(1354!851),,(103!467),(1324!196),,(436!69),,(1253!159),(948!768),,,(461!105),(856!857),(1360!300)
100,,(1353!850),,(103!466),(1323!196),,(436!68),,(1253!159),(948!768),(485!74),,(461!104),(854!857),(1360!300)
101,,(1353!850),,(102!466),(1325!196),,(436!68),,(1253!159),(948!766),(485!73),,(461!103),,(1359!299)
102,,(1353!849),,(100!466),(1325!193),,(435!68),,(1253!158),(948!767),,,(461!103),,(1360!300)
103,,(1353!849),,(102!465),(1325!191),,(436!67),,(1252!158),(948!766),(485!72),,(461!102),(854!855),
104,,(1353!848),,(102!465),(1325!190),(1360!298),(435!66),,(1253!158),(949!766),(486!72),,(461!102),,
105,,(1353!848),,(99!465),(1326!197),(1360!293),(435!66),,(1253!158),(854!855),(485!72),,(462!102),,
106,(950!766),(1353!848),,(99!465),(1325!191),,(435!66),,(1252!158),(854!854),(485!72),,(462!102),,
107,,(1353!849),,,(1325!191),(1360!293),,,(1253!158),(854!855),(485!72),,(462!102),,
108,,(1353!849),,,(1326!198),(1360!294),(435!67),,(1253!158),(854!855),(486!73),,(462!102),,
109,,(1353!849),,(102!466),(1325!192),(1359!294),,,(1252!159),,(485!73),,(461!103),,
110,,(1353!850),,(99!466),(1326!194),,(436!68),,(1253!160),,(485!73),,(461!104),,
111,,(1353!850),,(100!466),(1327!197),(1360!295),,,(1253!160),(853!856),(486!74),,(461!104),,
112,,(1353!851),,,(1327!196),(1361!295),,,(1252!160),,(486!75),,(461!104),,
113,(952!770),(1354!852),,,(1328!195),,,,(1253!161),(853!858),(486!75),,(462!106),,
114,(952!771),(1354!852),,,(1328!195),,,,(1253!161),(853!859),(487!76),,(462!106),,
115,(952!770),(1354!852),,,(1328!194),,(437!69),,(1252!162),,(486!75),,(462!106),,
116,(952!770),(1354!852),,,(1327!194),,(436!69),,(1253!162),(852!858),(486!75),,(462!106),,
117,(952!770),(1354!852),,,(1327!195),,(436!69),,(1252!162),(852!858),(486!75),,(462!105),,
118,(952!769),(1354!851),,(103!466),(1326!197),(1359!296),(436!69),,(1252!161),(851!857),(486!74),,(461!104),,
119,(952!769),(1353!851),,,(1327!196),(1361!296),(437!68),,(1252!160),(851!857),(486!74),,(461!104),,
120,(952!768),(1353!849),,,(1327!198),,(436!68),,(1252!160),(851!855),,,,,
121,(952!767),(1353!849),,(102!465),(1326!195),,(437!68),,(1251!159),,(485!72),,,,
122,(952!767),(1353!849),,(103!465),(1326!195),,(436!68),,(1251!159),(854!855),(486!72),,,,
123,(952!767),(1353!848),,(102!465),(1325!201),,(436!67),,(1251!159),,(485!72),,,,
124,(951!767),(1353!848),,(99!465),(1325!195),,(436!67),,(1251!159),(851!854),,,,,
125,(951!767),(1352!849),,(102!465),(1325!195),,(436!67),,(1251!159),(851!855),(484!73),,,,
126,(951!768),(1352!849),,(102!465),(1325!196),,(436!68),,(1251!160),(850!856),,,,,
127,(950!768),(1353!849),,(102!465),(1324!197),,(436!68),,(1250!160),(850!855),(485!75),,,,
128,(950!768),,,(102!466),(1324!198),,(436!69),,(1250!161),(850!856),,,,,
129,,,,(102!467),(1324!204),,(436!69),,(1250!162),,,,(460!104),,
130,(952!770),,,(102!468),(1324!205),,(435!70),,(1249!162),(844!860),,,,,
131,(952!770),,,(102!469),(1324!205),,(436!70),,(1249!162),(843!860),,,(461!105),,
132,(952!771),,,,(1323!205),,(437!70),,(1249!162),(850!858),,,,,
133,(951!770),(1353!852),,,(1323!206),,,,(1249!163),(850!858),,,,,
