VideoName,FramedAnalyzed,TrueFlyCount,MeanDetected,MinDetectedFrame,MaxDetectedFrame,TotalUniqueFlies,MSE,RMSE,R2
2k 120fps backlit.MXF,4736,17,7.340793918918919,0,17,35,97.82136824324324,9.890468555293184,0.0
4k 24fps.MXF,1002,18,2.7025948103792414,0,11,111,238.14970059880238,15.432099682117219,0.0
4k 60fps.MXF,2206,19,2.0643699002719855,0,13,181,290.53309156844966,17.045031286813458,0.0
120fps 2K.MXF,2447,11,6.747037188393952,0,11,26,20.40253371475276,4.516916394483382,0.0
180fps 2K.MXF,3180,11,5.830817610062893,0,11,26,28.728930817610063,5.359937575906091,0.0
180fps more flys.MXF,1657,19,10.55642727821364,0,15,50,75.3777911888956,8.68203842360166,0.0
