frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_13,ID_14,ID_15,ID_16,ID_18
44,,"(856,855)","(1352,852)","(946,765)","(102,468)","(1359,295)","(1320,186)","(1260,148)","(461,106)","(484,76)","(435,69)",,,,,,
45,,"(856,854)","(1353,851)","(946,765)","(99,467)","(1358,294)","(1320,186)","(1259,147)","(461,105)","(484,76)","(434,68)",,,,,,
46,,"(856,854)","(1353,850)","(946,764)","(102,467)","(1359,293)","(1320,186)","(1259,147)","(460,104)","(484,75)",,,,,,,
47,"(121,1049)","(857,853)","(1353,850)","(946,764)","(102,466)","(1359,293)","(1320,186)","(1260,148)","(461,103)","(490,77)","(435,68)",,,,,,
48,"(123,1049)","(857,853)","(1353,850)","(943,761)","(102,466)","(1359,292)","(1320,185)","(1260,147)","(461,103)","(485,74)","(435,67)",,,,,,
49,,"(857,853)","(1353,849)","(947,763)","(100,465)","(1361,292)","(1321,185)","(1260,147)","(461,102)","(486,74)","(436,66)",,,,,,
50,"(124,1049)","(857,853)","(1353,849)","(943,761)","(103,466)","(1361,292)","(1321,185)","(1260,148)","(462,103)","(486,74)","(436,67)",,,,,,
51,"(123,1049)","(857,853)","(1353,849)","(947,763)","(103,466)","(1361,293)","(1322,186)","(1260,148)","(461,103)","(486,74)","(436,67)",,,,,,
52,"(124,1049)","(861,854)","(1353,850)","(947,764)","(103,466)","(1361,293)","(1322,187)","(1260,148)","(462,103)","(486,74)",,,,,,,
53,"(124,1049)","(857,854)","(1354,849)","(947,763)","(103,466)","(1359,293)","(1321,187)","(1259,148)","(461,103)","(486,75)","(436,67)",,,,,,
54,,"(857,854)","(1354,850)","(947,764)","(100,466)","(1361,294)","(1322,187)","(1259,148)","(462,104)","(486,75)","(436,68)",,,,,,
55,,"(857,855)","(1354,851)","(947,765)","(103,467)","(1361,294)","(1322,188)","(1259,149)","(462,105)","(486,76)",,,,,,,
56,,"(857,856)","(1353,851)","(943,764)","(100,468)","(1360,295)","(1322,188)","(1259,150)","(461,105)","(486,76)","(436,69)",,,,,,
57,,"(860,857)","(1353,852)","(952,766)","(100,469)","(1361,295)","(1322,189)","(1259,151)","(462,106)","(486,75)","(436,70)",,,,,,
58,,"(856,856)","(1353,852)","(952,767)","(100,468)",,"(1319,190)","(1258,151)","(462,106)","(486,75)","(436,70)",,,,,,
59,,"(856,857)","(1353,852)","(950,767)","(102,468)",,"(1322,190)","(1258,151)","(461,106)","(485,75)",,,,,,,
60,,"(856,857)","(1353,852)","(950,767)","(99,468)","(1359,299)","(1322,190)","(1257,151)","(461,106)","(485,75)","(435,70)",,,,,,
61,,"(856,857)","(1353,852)","(946,768)","(100,468)","(1359,299)","(1322,189)","(1258,150)","(460,106)","(489,77)","(435,70)","(46,601)",,,,,
62,,"(856,856)","(1352,852)","(945,767)","(99,468)","(1360,299)","(1322,189)","(1257,150)","(460,105)","(484,76)",,,,,,,
63,,"(857,855)","(1352,851)","(942,764)","(99,467)","(1360,298)","(1322,188)","(1257,149)","(461,104)","(485,75)","(434,68)",,,,,,
64,,"(860,855)","(1354,852)","(942,764)","(99,467)","(1358,298)","(1321,187)","(1256,149)","(460,104)","(484,73)",,,,,,,
65,"(123,1049)","(857,855)","(1353,850)","(945,765)","(99,466)",,"(1322,186)","(1257,148)","(455,102)","(484,72)","(434,68)",,,,,,
66,,"(858,855)","(1353,850)","(943,764)","(102,466)","(1359,298)","(1322,187)","(1256,148)","(460,103)","(485,72)","(434,68)",,,,,,
67,,"(858,854)","(1353,849)","(943,763)","(99,466)","(1360,297)","(1323,186)","(1256,148)","(461,103)","(485,72)","(436,67)",,,,,,
68,,"(858,854)","(1353,849)","(945,764)","(103,465)","(1361,292)","(1323,186)","(1257,148)","(462,103)","(485,73)","(435,67)",,,,,,
69,,"(858,854)","(1355,851)","(945,765)","(102,465)","(1360,292)","(1323,185)","(1257,148)","(461,102)","(485,72)",,,,,,,
70,,"(858,854)","(1353,849)","(945,765)","(102,465)","(1360,292)","(1323,186)","(1257,148)","(461,103)","(486,73)","(436,68)","(44,598)",,,,,
71,,"(858,854)","(1353,849)","(945,766)","(103,466)","(1361,293)","(1323,186)","(1257,149)","(462,103)","(491,74)","(436,68)","(44,599)",,,,,
72,,"(858,855)","(1353,850)","(945,766)","(100,466)","(1360,293)","(1323,186)","(1257,149)","(461,103)","(486,75)",,,,,,,
73,,"(858,855)","(1353,850)","(945,767)","(100,467)","(1361,294)","(1323,187)","(1257,150)","(462,104)","(486,76)",,,,,,,
74,,"(858,856)","(1355,853)","(945,767)","(100,467)","(1360,294)","(1323,187)","(1257,151)","(461,104)","(486,74)","(436,69)",,,,,,
75,,"(858,857)","(1353,852)","(945,768)","(103,468)","(1361,295)","(1323,188)","(1257,151)","(462,106)","(486,75)","(436,70)",,,,,,
76,,"(857,858)","(1354,852)","(945,769)","(104,468)","(1362,302)","(1324,189)","(1257,153)","(462,106)","(486,75)",,,,,,,
77,,"(858,857)","(1354,852)","(945,769)","(103,468)","(1361,301)","(1323,188)","(1256,152)","(461,106)","(486,76)","(437,70)",,,,,,
78,,"(857,857)","(1354,852)","(945,768)","(103,468)","(1360,301)","(1323,188)","(1256,152)","(461,105)","(485,75)",,"(44,596)",,,,,
79,,"(857,857)","(1353,851)","(944,768)","(102,468)","(1359,301)","(1322,188)","(1255,153)","(456,104)","(485,75)","(436,69)",,,,,,
80,,"(857,857)","(1353,852)","(940,766)","(102,468)","(1359,301)","(1323,188)","(1255,153)","(461,105)","(485,74)","(436,69)",,,,,,
81,,"(856,856)","(1352,851)","(944,767)","(102,467)","(1359,300)","(1322,187)","(1255,153)","(460,104)","(484,74)","(434,68)",,,,,,
82,,"(857,856)","(1352,851)","(944,767)","(102,467)",,"(1323,187)","(1254,152)","(460,104)","(485,73)","(436,68)",,,,,,
83,,"(857,855)","(1353,850)","(945,766)","(102,466)",,"(1323,186)","(1254,151)","(460,103)","(485,73)","(435,68)",,,,,,
84,,"(857,855)","(1353,849)","(945,766)","(102,466)","(1359,298)","(1323,186)","(1254,152)","(460,103)","(485,73)","(436,67)",,,,,,
85,"(122,1049)","(856,855)","(1352,849)","(945,766)","(102,465)","(1359,298)","(1323,186)",,"(461,103)","(485,72)","(436,67)",,,,,,
86,,"(856,855)","(1352,849)","(942,764)","(100,466)","(1359,299)","(1323,186)","(1255,153)","(461,102)","(485,74)","(436,67)",,,,,,
87,,"(857,854)","(1353,849)","(946,765)","(102,465)","(1359,299)","(1324,185)","(1255,153)","(461,102)","(485,74)","(436,67)",,,,,,
88,,"(857,855)","(1353,849)","(946,766)","(100,465)","(1360,303)","(1324,186)",,"(461,102)","(485,72)","(436,67)",,,,,,
89,,"(856,855)","(1353,849)","(946,766)","(102,466)","(1361,300)","(1324,186)","(1254,154)","(460,103)","(485,73)","(436,68)",,,,,,
90,,"(857,855)","(1353,849)","(946,766)","(102,466)",,"(1325,186)","(1255,154)","(461,103)","(486,73)","(437,68)",,,,,,
91,,"(858,856)","(1354,851)","(943,765)","(103,467)",,"(1326,188)","(1255,155)","(462,105)","(486,74)","(437,69)",,,,,,
92,,"(857,857)","(1353,851)","(947,768)","(103,467)","(1360,300)","(1326,188)",,"(461,105)","(486,74)","(436,69)",,,,,,
93,,"(857,858)","(1353,852)","(947,769)","(104,468)","(1362,301)","(1326,191)",,"(462,106)","(487,75)","(437,70)",,,,,,
94,,"(857,857)","(1354,852)","(948,769)","(104,468)","(1362,300)","(1326,190)",,"(462,105)","(487,75)","(437,70)",,,,,,
95,,"(857,858)","(1354,852)","(949,769)","(104,468)","(1362,301)","(1327,190)","(1254,160)","(462,106)","(487,75)","(437,70)",,,,,,
96,,"(857,858)","(1354,852)","(945,766)","(104,468)","(1362,301)","(1326,191)","(1253,160)","(462,105)","(486,75)","(437,69)",,,,,,
