frame,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_24,ID_25,ID_26,ID_27
0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"(1111,986)",,,,,,,,,,,,,,,,,,,,,,,,,
11,"(1105,984)","(565,522)",,"(1205,634)",,,,,,,,,,,,,,,,,,,,,,
12,"(1100,981)","(568,524)",,"(1208,635)",,,,,,,,,,,,,,,,,,,,,,
13,"(1096,978)","(571,525)",,"(1213,637)","(993,936)","(994,955)",,,,,,,,,,,,,,,,,,,,
14,"(1092,977)","(573,534)",,"(1221,641)","(993,933)","(995,951)",,,,,,,,,,,,,,,,,,,,
15,"(1088,976)","(575,540)",,"(1224,643)","(992,931)","(995,959)",,,,,,,,,,,,,,,,,,,,
16,"(1088,976)","(577,546)",,"(1229,647)","(992,928)","(996,951)",,,,,,,,,,,,,,,,,,,,
17,"(1087,976)","(579,550)",,"(1232,648)","(991,924)",,,,,,,,,,,,,,,,,,,,,
18,"(1087,976)","(580,553)",,"(1236,653)","(992,920)",,"(1262,188)",,,,,,,,,,,,,,,,,,,
19,,"(585,559)",,"(1244,657)","(991,915)",,,,,,,,,,,,,,,,,,,,,
20,,"(590,564)",,"(1249,663)","(991,914)",,,,,,,,,,,,,,,,,,,,,
21,"(1085,974)","(595,569)",,"(1252,667)","(991,909)",,,,,,,,,,,,,,,,,,,,,
22,,"(601,574)",,"(1257,670)","(992,905)",,,,,,,,,,,,,,,,,,,,,
23,,"(605,579)",,"(1264,676)","(990,899)",,,,,,,,,,,,,,,,,,,,,
24,,"(612,585)",,"(1269,680)","(990,899)",,,,,,,,,,,,,,,,,,,,,
25,,"(618,590)",,"(1274,681)","(990,897)",,,,,,,,,,,,,,,,,,,,,
26,"(1076,977)","(624,596)",,"(1280,685)","(990,897)",,,,,,,,,,,,,,,,,,,,,
27,"(1071,977)","(629,601)",,"(1285,688)","(991,896)",,,,,,,,,,,,,,,,,,,,,
28,"(1067,979)","(634,607)",,"(1293,691)","(992,894)",,,,,,,,,,,,,,,,,,,,,
29,"(1066,976)","(638,613)",,"(1297,692)","(990,887)",,,,,,,,,,,,,,,,,,,,,
