frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_15,ID_16,ID_18
53,"(277,1010)","(405,910)","(718,804)","(472,501)","(572,347)","(442,61)","(1348,1035)",,"(55,1023)",,,,"(1368,613)",,,
54,"(276,1010)","(405,910)","(717,803)","(472,501)","(569,349)","(438,61)",,,"(54,1024)",,,,"(1367,612)",,,
55,"(276,1009)","(405,910)","(717,803)","(472,501)","(569,349)","(438,61)","(1347,1035)",,,,,,"(1367,612)",,,
56,"(276,1009)","(404,909)","(716,803)","(472,501)","(570,349)","(437,61)","(1347,1036)",,"(55,1024)",,,,"(1368,612)",,,
57,"(278,1013)","(403,909)","(716,803)","(472,501)","(572,349)","(443,60)",,,,,,,"(1367,611)",,,
58,"(276,1010)","(402,909)","(715,803)","(472,501)","(576,345)","(437,60)",,,,,,,"(1367,611)",,,
59,"(276,1009)","(402,909)","(710,806)","(470,505)","(577,345)","(442,60)",,,,,,,"(1367,614)",,,
60,"(276,1009)","(401,909)","(713,803)","(471,501)","(579,346)","(437,61)","(1345,1035)",,,,,,"(1365,611)",,,
61,"(276,1009)","(401,909)","(713,804)","(471,501)","(576,348)","(437,61)","(1345,1036)",,,,,,"(1365,611)",,,
62,"(276,1010)","(401,908)","(712,804)","(469,505)","(578,344)","(437,61)","(1344,1035)",,,,,,"(1363,611)",,,
63,"(275,1010)","(401,909)","(712,804)","(469,505)","(578,343)","(437,61)","(1344,1036)",,,,,,"(1362,612)",,,
64,"(276,1009)","(401,909)","(712,805)","(471,502)","(581,344)","(437,61)","(1344,1035)",,,,,,"(1363,612)",,,
65,"(275,1009)","(401,909)","(712,806)","(469,505)","(581,342)","(437,61)","(1343,1035)",,,,,,"(1362,612)",,,
66,"(276,1009)","(400,909)","(711,809)","(471,502)","(582,342)","(437,61)","(1344,1035)",,"(54,1023)",,,,"(1362,612)",,,
67,"(275,1009)","(400,908)","(711,810)","(469,505)","(581,344)","(437,61)",,,"(54,1023)",,,,"(1361,612)",,,
68,"(276,1009)","(400,908)","(711,808)","(470,505)","(582,339)","(437,61)",,,,,,,"(1361,612)",,,
69,"(276,1009)","(400,909)","(712,810)","(469,505)",,"(437,61)",,,,,,,"(1362,613)",,,
70,"(276,1009)","(400,908)","(712,809)","(470,505)",,"(437,61)",,,,,,,"(1362,612)",,,
71,"(276,1009)","(400,908)","(712,809)","(472,501)",,"(437,61)","(1344,1034)",,,,,,"(1361,613)",,,
72,"(276,1009)","(400,907)","(711,809)","(470,505)","(584,339)","(438,61)","(1345,1035)",,,,,"(502,46)","(1351,604)",,,
73,"(276,1009)","(400,907)","(709,810)","(470,505)",,"(443,61)","(1345,1035)",,,,,,"(1344,597)",,,
74,"(276,1009)","(400,907)","(709,812)","(470,504)",,"(438,60)","(1345,1035)",,,,,"(487,47)","(1344,590)",,,
75,"(277,1009)","(402,909)","(712,811)","(470,504)",,"(443,61)","(1342,1035)",,,,,,"(1338,589)",,,
76,"(277,1009)","(399,907)",,"(472,501)","(584,339)","(437,61)","(1343,1034)",,,,,,,,,
77,"(276,1009)","(399,907)","(710,809)","(472,501)",,"(437,61)","(1342,1033)",,,,,,"(1337,572)",,,
78,"(276,1009)","(399,907)","(705,812)","(472,501)","(584,339)","(442,61)","(1341,1034)",,,,,,"(1345,565)",,,
79,"(276,1009)","(399,907)","(702,814)","(470,505)","(583,339)","(437,61)","(1340,1033)",,,,,,"(1338,572)",,,
