frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_17,ID_18,ID_19
51,"(1278,990)","(205,972)","(1255,1009)","(1162,976)","(1207,911)","(300,187)",,"(240,62)","(1358,796)",,,,,,,,
52,"(1279,991)","(203,972)","(1255,1009)","(1159,976)","(1207,911)","(300,187)","(439,90)","(238,62)",,,,,,,,,
53,"(1280,991)","(201,972)","(1255,1009)","(1166,974)","(1207,910)","(298,190)","(437,90)","(235,63)",,,,,,,,,
54,"(1280,990)","(200,972)",,"(1166,974)","(1207,909)","(299,190)","(437,90)","(237,64)","(1356,795)",,,,,,,,
55,"(1282,990)","(200,972)","(1256,1009)","(1167,972)","(1207,909)","(298,189)","(437,89)","(234,65)","(1355,795)",,,,,,,,
56,"(1282,989)","(198,971)","(1255,1009)","(1167,972)","(1207,909)",,"(437,89)","(232,66)","(1355,796)",,,,,,,,
57,"(1283,989)","(198,970)","(1255,1009)","(1168,971)","(1207,909)","(296,189)","(439,89)","(235,65)","(1354,797)",,,,,,,,
58,"(1281,984)","(198,968)",,"(1164,973)","(1206,908)",,"(437,89)","(233,68)","(1354,798)",,,,,,,,
59,"(1281,984)","(198,968)","(1255,1010)","(1166,973)","(1206,908)","(295,189)","(439,89)","(230,68)","(1353,797)",,,,,,,,
60,"(1284,986)","(197,967)","(1254,1010)","(1169,971)","(1205,907)","(295,189)",,"(230,69)","(1353,798)",,,,,,,,
61,"(1287,986)","(198,970)",,"(1171,971)","(1205,907)",,,"(230,70)","(1353,798)",,,,,,,,
62,"(1287,986)","(197,968)","(1253,1010)","(1172,970)","(1204,907)","(296,189)","(439,89)","(230,71)","(1353,799)",,,,,,,,
63,"(1285,985)","(194,963)","(1253,1011)","(1168,973)","(1204,908)","(295,189)",,"(229,72)","(1352,800)",,,,,,,,
64,"(1286,985)","(195,968)","(1253,1011)","(1174,970)","(1205,908)",,,"(229,73)","(1350,799)",,,,,,,,
65,"(1290,987)","(195,967)","(1252,1011)","(1175,970)","(1205,908)","(295,190)","(436,89)","(228,74)","(1351,802)",,,,,,,,
66,"(1291,986)","(194,965)","(1251,1011)","(1175,970)","(1205,908)","(295,190)","(436,90)","(226,76)","(1353,803)",,,,,,,,
67,"(1295,986)","(193,964)","(1251,1011)","(1176,970)","(1205,908)","(295,190)","(436,90)","(226,78)","(1351,804)",,,,"(46,370)",,,,
68,"(1294,990)","(190,962)","(1251,1011)","(1177,970)","(1209,908)","(295,190)","(436,90)","(225,80)","(1352,807)",,,,"(46,274)",,,,
69,"(1295,990)","(190,962)","(1251,1011)","(1179,971)","(1209,909)","(295,190)","(436,90)","(225,81)","(1352,807)",,,,,,,,
70,"(1297,986)","(188,960)",,"(1179,968)","(1208,909)","(295,190)","(436,90)","(224,81)","(1356,810)",,,,,,,,
71,"(1297,988)","(188,959)",,"(1180,967)","(1204,908)",,,"(223,83)","(1357,811)",,,,,,,,
72,,"(188,959)","(1251,1010)","(1180,967)","(1205,909)","(296,189)",,"(223,83)","(1357,811)",,,,,,,,
73,"(1297,988)","(183,955)","(1251,1010)","(1181,967)","(1205,909)","(296,189)","(439,89)","(221,84)","(1357,812)",,,,,,,,
74,"(1298,991)","(182,958)","(1252,1010)","(1177,968)","(1205,909)","(296,189)","(437,89)","(220,86)","(1357,813)",,,,"(47,306)",,,,
75,"(1298,990)","(184,957)",,"(1177,967)","(1205,909)","(296,189)","(439,88)","(220,86)","(1357,813)",,,,"(46,312)",,,,
76,"(1295,988)","(183,956)","(1252,1010)","(1182,964)","(1205,909)","(301,186)",,"(218,87)",,,,,,,,,
77,"(1301,989)","(181,955)","(1251,1010)","(1183,964)","(1204,908)",,"(440,89)","(217,88)",,,,,,,,,
78,"(1300,987)","(180,954)",,"(1183,964)","(1204,908)","(298,189)","(439,89)","(215,89)",,,,,,,,,
79,"(1303,990)","(179,952)",,"(1182,963)","(1203,907)","(296,189)","(439,89)","(215,89)","(1354,813)",,,,,,,,
80,"(1305,989)","(178,951)",,"(1182,963)",,"(295,189)",,"(213,89)",,,,,,,,,
81,"(1305,987)","(178,950)",,"(1183,962)","(1204,908)",,"(438,89)","(212,92)","(1354,817)",,,,,,,,
82,"(1306,986)","(177,949)","(1251,1010)","(1183,963)",,"(297,190)","(439,89)","(209,93)","(1354,818)",,,,,,,,
83,"(1308,988)","(177,948)","(1251,1011)","(1182,962)","(1202,908)",,"(438,89)","(209,94)","(1354,818)",,,,,,,,
84,"(1307,987)","(175,946)","(1251,1010)","(1183,962)",,"(300,187)","(438,90)","(206,95)","(1354,821)",,,,,,,,
85,"(1309,988)","(174,946)","(1251,1011)","(1184,963)",,,"(436,91)","(204,97)","(1354,823)",,,,,,,,
86,"(1307,986)","(174,945)",,"(1183,962)","(1201,909)","(295,190)","(438,90)","(203,98)","(1355,823)",,,,,,,,
87,"(1308,983)","(174,944)","(1251,1011)","(1183,962)","(1200,909)",,"(438,90)","(203,98)","(1354,826)",,,,,,,,
88,"(1310,984)","(173,942)",,"(1183,961)","(1200,909)",,"(438,90)","(202,99)","(1355,827)",,"(1199,1023)",,,,,,
89,"(1311,984)","(172,941)",,"(1184,961)","(1200,909)",,"(436,90)","(200,100)","(1355,829)",,,,,,,,
90,"(1313,989)","(172,941)","(1251,1011)","(1181,966)","(1200,909)","(298,190)","(438,90)","(198,99)","(1355,830)",,,,,,,,
91,"(1313,990)","(171,939)","(1251,1011)","(1182,965)","(1200,908)",,"(439,89)","(198,99)","(1355,830)",,,,,,,,
92,"(1315,989)","(170,940)","(1251,1010)","(1184,959)","(1200,908)","(295,189)","(439,89)","(196,99)","(1355,831)",,,,,,,,
93,"(1315,985)","(169,936)","(1252,1010)","(1184,958)","(1200,908)","(295,189)","(439,89)","(194,99)","(1356,831)",,,,,,,,
94,"(1316,988)","(167,935)","(1251,1010)","(1183,959)","(1200,908)","(296,189)","(439,89)","(192,98)","(1355,832)",,,,,,,,
