frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17
57,,"(1202,966)",,"(152,592)","(1337,443)","(245,307)","(85,72)",,,,,,,,,,,
58,,"(1203,966)",,"(150,588)","(1338,443)","(245,308)","(85,72)",,"(1133,55)",,,,,,,,,
59,,"(1203,965)",,"(152,592)","(1337,441)","(243,307)","(85,72)",,,,,,,,,,,
60,,"(1203,965)",,"(152,592)","(1336,443)","(242,308)","(85,72)",,,,"(720,693)",,,,,,,
61,,"(1202,964)",,"(150,587)","(1337,441)","(241,308)","(85,72)",,,,,,,,,,,
62,,"(1203,964)",,"(152,592)","(1335,444)","(239,309)","(86,73)",,,,,,,,,,,
63,,"(1204,964)","(57,641)","(152,592)","(1336,443)","(237,308)","(85,72)",,,,,,,,,,,
64,,"(1205,963)","(61,639)",,"(1338,442)","(236,308)","(85,72)",,,"(50,389)",,,,,,,,
65,,"(1205,964)","(62,640)","(152,592)","(1337,441)","(231,305)","(85,72)",,,"(50,383)",,,,,,,,
66,,"(1206,963)",,"(153,592)",,"(230,305)","(86,71)",,,,,,,,,,,
67,,"(1206,962)",,"(152,591)","(1335,437)","(233,307)","(86,71)",,,,"(721,692)",,,,,,,
68,,"(1206,962)","(60,639)","(152,592)","(1335,439)","(231,304)","(85,71)",,"(1133,55)",,,,,,,,,
69,,"(1206,962)","(61,638)","(152,591)","(1338,434)","(231,304)","(85,71)",,,,,,,,,,,
70,,"(1206,962)",,"(152,591)",,"(231,305)","(85,71)",,,,,,,,,,,
71,,"(1206,962)","(60,638)","(152,592)",,"(232,308)","(86,71)",,,,"(721,692)",,,,,,,
72,,"(1207,962)","(61,637)","(150,587)","(1336,437)","(232,309)","(85,72)",,,,,,,,,,,
73,,"(1207,962)","(60,638)",,"(1338,433)","(232,309)","(85,71)",,,,,,,,,,,
74,,"(1207,963)","(60,637)",,"(1338,433)","(233,309)","(85,72)",,,,,,,,,,,
75,,"(1207,962)","(59,637)",,"(1337,435)","(233,309)","(85,72)",,,,,,,,,,,
76,,"(1207,963)","(60,635)","(149,587)","(1337,435)","(232,309)","(85,72)",,,,,,,,,,,
77,,"(1207,963)",,"(149,587)","(1339,435)","(232,309)","(84,72)",,"(1133,55)",,,,,,,,,
78,,"(1203,965)","(60,634)","(152,592)",,"(231,309)","(84,72)",,"(1133,55)",,,,,,,,,
79,,"(1204,965)","(60,634)",,"(1341,430)","(231,311)","(84,72)",,,,,,,,,,,
80,,"(1207,963)","(61,633)","(149,588)","(1340,432)","(230,311)","(84,72)",,,,,,,,,,,
81,,"(1208,963)","(61,632)","(152,592)","(1340,431)",,"(85,72)",,,,,,,,,,,
82,,"(1208,963)","(62,631)","(150,588)","(1342,425)","(229,311)","(85,72)",,"(1133,55)",,,,,,,,,
83,,"(1208,963)","(62,630)","(152,592)","(1341,428)","(228,311)","(85,71)",,"(1133,55)",,,,,,,,,
84,,"(1208,962)","(63,628)","(152,591)","(1341,426)","(229,312)","(86,71)",,,"(50,382)","(721,692)",,,,,,,
85,,"(1209,962)","(63,628)","(152,591)","(1346,420)","(229,311)","(86,71)",,,,,,,,,,,
86,,"(1208,962)","(62,626)","(152,591)","(1344,419)","(228,312)","(86,71)",,,,,,,,,,,
87,,"(1208,963)",,"(152,591)","(1341,419)","(228,311)","(86,71)",,,,,,,,,,,
88,,"(1208,962)",,"(152,591)","(1343,417)","(228,311)","(86,71)",,,,,,,,,,,
89,,"(1206,964)","(62,624)","(150,587)","(1340,421)",,"(86,71)",,,,,,,,,,,
90,,"(1205,965)",,"(152,591)","(1343,421)","(227,311)","(86,71)",,,,,,,,,,,
91,,"(1205,965)",,"(151,592)","(1340,420)","(227,311)","(86,71)",,,,,,,,,,,
92,,"(1205,962)","(62,623)",,"(1340,419)","(227,311)","(85,71)",,"(1166,61)",,,,,,,,,
93,,"(1205,966)",,,"(1340,418)","(227,310)","(85,71)",,,"(49,383)",,,,,,,,
94,,"(1205,966)","(61,624)","(149,588)","(1341,415)","(227,311)","(84,71)",,,,,,,,,,,
95,,"(1205,966)","(62,623)","(149,588)","(1340,414)","(228,311)","(84,72)",,,"(49,384)","(720,692)",,,,,,,
96,,"(1205,964)","(62,624)",,"(1339,413)","(227,310)","(84,72)",,,"(49,383)","(719,692)",,,,,,,
97,,"(1206,964)","(62,627)",,"(1340,417)","(227,311)","(85,72)",,,"(49,374)",,"(50,329)",,,,,,
98,,"(1206,965)",,"(150,588)","(1341,411)","(227,310)","(84,72)",,,,"(720,692)",,,,,,,
99,,"(1205,965)","(62,624)","(152,591)","(1339,411)","(227,310)","(84,71)",,,,,,,,,,,
100,,"(1206,963)",,"(150,588)","(1342,411)","(226,310)","(86,71)",,,,,,,,,,,
101,,"(1206,964)","(63,624)","(152,592)","(1341,413)","(226,311)","(85,71)",,,,,,,,,,,
102,,,"(63,624)","(152,591)","(1341,415)","(226,310)","(86,71)",,,,"(721,691)",,,,,,,
103,,"(1208,966)","(63,624)","(152,591)","(1340,414)","(227,310)","(86,71)",,,,"(721,692)",,,,,,,
104,,"(1209,963)","(63,624)","(152,591)","(1343,414)","(227,310)","(85,71)",,"(1166,60)",,"(721,692)",,,,,,,
105,,,"(63,624)","(152,591)","(1342,414)","(227,310)","(86,71)",,,,"(721,692)",,,,,,,
106,,,"(62,624)","(152,591)","(1341,414)",,"(86,71)",,,,,,,,,,,
107,,,"(63,624)","(152,591)","(1342,414)","(227,311)","(86,71)",,,,,"(50,324)",,,,,,
108,,,,"(152,592)","(1342,414)","(227,311)","(86,71)",,,,,,,,,,,
109,,,,"(152,592)","(1342,414)","(226,311)","(85,71)",,,,"(720,692)",,,,,,,
110,,"(1206,965)","(62,624)","(152,591)","(1341,414)","(226,311)","(85,72)",,,,"(720,692)",,,,,,,
111,,,"(62,624)","(150,588)","(1341,414)","(226,312)","(85,72)",,,,,,,,,,,
112,,,"(62,624)","(152,591)","(1341,415)","(225,312)","(85,72)",,,,"(720,693)",,,,,,,
113,,"(1205,958)",,"(152,591)","(1340,415)","(225,312)","(85,71)",,,"(49,384)",,,,,,,,
114,"(220,1034)",,"(62,624)","(152,592)","(1341,415)","(225,312)","(85,72)",,,,,,,,,,,
115,,,"(62,624)","(152,592)","(1341,415)","(225,312)","(85,71)",,,,,,,,,,,
116,,,"(62,624)","(152,592)","(1341,415)","(225,312)","(85,72)",,,,"(721,693)",,,,,,,
