frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_13,ID_14
47,"(1195,1012)",,"(1159,973)","(1337,591)","(1264,633)","(457,483)","(64,489)","(748,388)","(1127,362)","(232,126)",,,,
48,"(1194,1012)",,"(1159,974)","(1337,592)","(1264,633)","(458,483)","(64,490)","(748,389)","(1127,362)","(232,126)",,,,
49,"(1189,1012)",,"(1163,973)","(1337,592)","(1264,633)","(459,483)","(64,490)","(748,388)","(1127,361)","(232,125)",,,,
50,"(1188,1012)",,"(1159,973)","(1336,596)","(1260,631)","(460,482)","(64,490)","(747,389)","(1127,362)","(232,126)",,,,
51,"(1187,1012)",,"(1163,973)","(1337,592)","(1260,630)","(462,481)","(64,490)","(746,389)","(1128,360)","(232,126)",,,,
52,"(1190,1011)",,"(1162,973)","(1337,591)","(1264,633)","(470,467)","(64,491)","(746,389)","(1127,362)","(231,125)",,,,
53,"(1190,1011)",,"(1163,973)","(1336,596)","(1264,633)","(471,465)","(64,491)","(746,390)","(1127,362)","(231,124)",,,,
54,"(1190,1012)",,"(1158,973)","(1337,591)","(1264,633)","(471,464)","(64,492)","(745,391)","(1127,361)","(232,125)",,,,
55,"(1186,1012)",,"(1158,973)","(1336,596)","(1264,633)","(472,463)","(64,493)","(745,392)","(1127,362)","(232,126)",,,,
56,"(1190,1012)",,"(1158,973)","(1337,592)","(1264,633)","(472,462)","(63,495)","(744,393)","(1127,362)",,,,,
57,"(1188,1012)",,"(1163,974)","(1337,592)","(1264,633)","(473,461)","(63,495)","(748,390)","(1127,360)","(231,126)",,,,
58,"(1183,1012)",,"(1162,974)","(1337,592)","(1264,633)","(468,469)","(63,496)","(743,393)","(1127,362)","(232,125)",,,,
59,"(1181,1013)",,"(1158,974)","(1337,592)","(1260,631)","(467,467)","(63,497)","(743,393)","(1127,362)","(232,126)",,"(475,461)",,
60,"(1189,1012)",,"(1159,974)","(1338,592)","(1265,633)","(468,469)","(64,498)","(742,394)","(1127,362)","(232,126)",,"(476,460)",,
61,"(1185,1011)",,"(1159,973)","(1337,596)","(1264,633)","(470,470)","(63,499)","(759,383)",,"(232,126)",,,,
62,"(1188,1011)",,"(1163,974)","(1337,592)","(1265,633)","(474,467)","(63,501)","(751,386)",,"(232,126)",,,,
63,"(1185,1012)",,"(1163,973)","(1337,597)","(1264,633)","(474,464)","(63,502)",,,"(232,125)",,,,
64,"(1188,1011)",,"(1163,973)","(1338,591)","(1265,633)","(474,463)","(62,504)",,,"(233,125)",,,,
65,"(1184,1011)",,"(1163,973)","(1336,596)","(1265,633)","(474,464)","(62,504)",,,"(232,125)",,,,
66,"(1183,1012)",,"(1159,974)","(1337,592)","(1265,633)","(474,465)","(59,506)",,,"(232,125)",,,,
67,"(1180,1012)",,"(1163,973)","(1338,592)","(1265,633)","(480,462)","(59,506)",,,"(233,125)",,,,
68,"(1175,1012)",,"(1163,973)","(1337,592)","(1265,633)","(485,456)","(61,506)",,,"(233,125)",,,,
69,"(1182,1012)",,"(1163,973)","(1337,592)","(1265,633)","(486,454)","(61,507)",,,"(233,125)",,,,
70,"(1174,1013)",,"(1163,973)","(1337,596)","(1265,633)","(486,453)","(58,508)",,,"(232,125)",,,,
71,"(1173,1012)",,"(1163,973)","(1337,596)","(1264,633)","(487,452)","(58,508)","(735,396)","(1127,361)","(233,125)",,,,
72,"(1176,1013)",,"(1163,973)","(1337,591)","(1264,633)","(487,451)","(59,509)","(734,396)","(1127,361)","(232,125)",,,,
