frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_19,ID_20
47,,"(221,528)","(337,408)",,"(93,70)","(1063,138)","(795,64)",,"(66,211)",,,,,,,,,,,
48,"(536,537)","(223,528)",,"(1075,252)","(92,68)","(1065,138)","(802,66)",,"(66,214)","(372,1028)",,,,,,,,,,
49,"(536,537)","(218,530)",,"(1074,252)","(94,66)","(1065,137)","(802,65)",,"(66,210)","(373,1028)",,"(59,65)","(46,1018)",,,,,,,
50,,,,"(1072,250)","(90,63)","(1062,137)","(803,65)",,"(65,209)","(374,1027)",,"(59,64)","(46,1018)",,,,,,,
51,,"(212,532)","(344,411)","(1071,249)",,"(1063,139)","(807,67)",,"(64,208)","(375,1027)",,,"(46,1016)",,,,,,,
52,,"(213,530)",,"(1073,250)",,"(1063,137)","(807,67)",,"(64,205)","(376,1027)",,,"(46,1014)",,,,,,,
53,,"(209,532)","(345,409)","(1070,247)",,"(1062,136)","(807,68)",,"(63,204)","(377,1028)",,,,,,,,,,
54,"(535,536)","(207,534)","(346,410)","(1069,246)",,"(1061,136)","(811,66)",,"(62,204)",,,,"(45,1017)",,,,,,,
55,"(534,536)","(205,536)","(342,408)","(1067,245)",,"(1061,136)","(812,65)",,"(62,205)",,,,,,,,,,,
56,,"(203,533)",,"(1065,245)",,,"(812,65)",,"(61,204)","(384,1029)",,,,,,,,,,
57,,"(205,535)","(347,414)","(1065,244)",,,"(812,65)",,"(62,205)",,,,,,,,,,,
58,,"(200,538)","(350,415)","(1065,241)",,,"(813,67)",,"(62,204)",,,,,,,,,,,
59,,"(200,537)","(348,416)","(1063,240)",,,"(814,65)",,"(62,204)",,,,,,,,,,,
60,,"(200,534)","(351,416)","(1062,238)",,,"(815,69)",,"(63,202)","(393,1029)",,,,,,,,,,
61,,"(200,534)","(354,420)","(1060,238)",,,"(815,72)","(1372,595)","(62,202)",,,"(57,66)",,,,,,,,
62,,"(199,534)","(353,419)","(1059,238)",,"(1060,139)","(817,73)",,"(62,202)","(394,1029)",,,,,,,,,,
63,,"(199,534)","(354,418)","(1059,238)","(92,59)",,"(817,73)",,"(62,202)",,,,"(45,1019)",,,,,,,
64,,"(199,535)","(358,423)","(1058,237)","(92,60)","(1061,140)","(819,71)",,"(63,200)","(400,1030)",,,,,,,,,,
65,"(536,538)","(199,533)","(360,423)","(1057,236)","(95,58)",,"(823,65)",,"(63,200)",,,"(58,65)",,,,,,,,
66,"(536,538)","(203,532)",,"(1056,236)","(96,57)","(1062,138)","(823,65)",,"(64,199)","(402,1027)",,"(59,65)","(46,1018)",,,,,,,
67,"(536,538)","(200,532)","(362,422)","(1054,234)","(96,57)","(1062,138)","(825,62)",,"(63,199)",,,"(59,64)","(46,1018)",,,,,,,
68,,"(199,533)","(358,420)","(1054,233)","(99,56)","(1062,138)","(825,61)",,"(64,198)","(407,1029)",,"(59,64)",,,,,,,,
69,,"(202,533)","(362,423)","(1053,234)","(100,55)","(1062,138)","(827,61)",,"(64,198)","(409,1029)",,"(59,64)",,,,,,,,
70,,"(198,533)","(357,421)","(1053,232)","(101,55)","(1062,138)","(827,62)",,"(64,197)","(410,1029)",,"(59,64)",,,,,,,,
71,,"(197,533)","(357,422)","(1050,232)","(104,56)","(1062,138)","(828,67)",,"(64,197)","(414,1030)",,,"(45,1017)",,,,,,,
72,"(535,537)","(194,529)","(360,423)","(1048,230)","(103,56)","(1062,138)","(828,67)","(1375,546)",,"(415,1028)",,,,,,,,,,
73,,"(193,530)","(357,421)","(1044,229)","(104,56)","(1061,139)","(828,68)","(1375,547)",,,,,,,,,,,,
74,,"(193,531)","(357,421)","(1040,230)","(101,57)",,"(829,66)",,,,,,,,,,,,,
75,,"(192,531)","(357,421)","(1037,231)","(101,57)",,"(832,66)","(1372,588)",,"(420,1028)",,,,,,,,,,
76,"(534,537)","(191,530)","(360,424)","(1035,230)","(103,57)",,"(833,66)","(1371,595)","(61,197)",,,,,,,,,,,
77,,"(187,527)","(360,425)","(1033,231)","(102,57)",,"(835,66)",,"(61,197)","(424,1030)",,,,,,,,,,
78,,"(193,531)","(360,425)","(1031,230)","(104,57)",,"(836,67)",,,,,,,,,,,,,
79,,"(193,531)","(361,426)","(1030,234)","(104,56)",,"(837,71)",,,,,,,,,,,,,
80,"(534,537)","(192,530)",,"(1029,232)","(104,56)",,"(841,70)",,"(60,196)","(431,1029)",,,,,,,,,,
81,"(534,538)","(187,528)","(362,426)","(1026,231)","(108,57)",,"(842,71)",,"(61,196)","(435,1028)",,,,,,,,,,
82,"(535,537)","(187,528)",,"(1027,233)","(115,57)",,"(845,71)",,"(61,194)",,,,,,,,,,,
83,,,"(363,425)","(1027,232)","(115,57)",,"(846,70)",,"(62,193)","(441,1028)",,"(59,69)",,,,,,,,
84,"(535,538)","(187,527)","(363,425)","(1025,232)","(119,56)","(1062,139)","(848,65)",,"(63,192)","(443,1027)",,,,,,,,,,
85,,"(187,528)","(364,425)","(1023,231)","(126,57)","(1062,138)","(849,65)","(1374,595)","(64,192)","(446,1028)",,"(59,69)",,,,,,,,
86,"(536,537)","(186,527)","(364,425)","(1022,231)","(129,57)",,"(849,65)",,"(64,188)","(446,1029)",,,,,,,,,,
87,"(539,536)","(186,527)","(364,425)","(1020,233)","(126,57)","(1062,138)","(850,67)",,"(63,187)",,,"(58,70)",,,,,,,,
88,,"(185,525)","(365,425)","(1018,232)","(131,57)",,"(851,66)",,"(64,187)","(452,1026)",,,,,,,,,,
89,"(539,535)","(184,524)","(365,426)","(1016,233)","(130,57)","(1063,138)","(852,71)",,"(63,185)","(451,1026)",,,,,,,,,,
90,,"(187,527)","(366,426)","(1014,232)","(132,56)","(1064,137)","(854,70)",,"(64,185)","(459,1029)",,,,,,,,,,
91,"(535,537)","(184,526)","(366,427)","(1012,232)","(132,56)",,"(858,73)",,"(64,184)","(459,1026)",,,,,,,,,,
92,,"(183,525)","(366,427)","(1009,233)","(131,55)",,"(858,71)",,"(65,184)","(460,1026)",,,,,,,,,,
93,"(534,537)","(183,526)","(365,428)","(1007,232)","(130,56)",,"(858,70)",,"(65,184)","(458,1026)",,,,,,,,,,
94,"(534,537)","(181,527)","(365,428)","(1003,231)","(131,55)",,"(860,66)",,"(62,179)","(465,1026)",,,,,,"(1374,548)",,,,
95,,"(180,525)","(365,429)","(1005,231)","(131,55)","(1060,139)","(862,68)",,"(61,179)","(467,1027)",,,,,,,,,,
